in_date,out_date
2006-06-09,2006-07-14
2007-02-09,2007-04-04
2008-02-06,2008-03-14
2008-03-20,2008-04-18
2008-07-18,2009-03-27
2011-07-22,2012-01-20
2012-05-11,2012-07-20
2012-08-31,2012-09-28
2013-02-08,2013-08-16
2013-12-20,2014-05-30
2014-10-10,2015-04-17
2015-06-26,2016-03-11
2017-02-10,2017-08-25
2018-11-23,2019-02-15
2019-05-24,2019-07-05
2019-08-09,2019-11-08
2019-12-06,2019-12-27
2020-02-28,2020-11-27
2020-12-24,2021-02-05
2021-04-30,2021-05-21
2021-07-30,2021-09-24
2021-11-26,2022-01-07
2023-12-22,2024-01-12
2024-11-01,2025-01-17
2025-02-28,2025-06-13
