in_date,out_date
1997-11-28,1998-11-25
1999-01-06,1999-04-29
1999-08-25,1999-10-22
2000-01-27,2000-08-21
2000-09-27,2001-07-25
2001-10-17,2002-02-14
2002-09-26,2002-11-28
2003-03-19,2003-04-14
2003-08-01,2003-10-03
2003-10-29,2004-01-01
2004-03-01,2004-10-05
2004-12-15,2005-11-11
2006-05-29,2006-07-26
2006-09-22,2006-10-31
2007-03-06,2007-04-17
2007-06-27,2007-10-02
2007-11-21,2008-02-12
2008-05-14,2008-07-08
2008-09-09,2009-04-13
2010-05-25,2010-06-23
2010-12-03,2011-02-14
2011-09-12,2012-02-09
2012-02-27,2014-02-26
2014-06-03,2014-07-23
2014-09-11,2015-10-20
2015-12-14,2016-02-05
2016-05-20,2016-06-23
2016-11-14,2017-02-22
2017-05-09,2017-08-01
2017-08-09,2017-09-12
2017-09-28,2018-01-11
2018-02-09,2018-11-22
2019-05-06,2019-06-25
2019-08-15,2019-10-15
2020-03-02,2020-05-25
2020-08-12,2020-10-30
2021-03-05,2021-05-25
2021-06-28,2021-08-30
2021-12-03,2023-01-16
2023-03-15,2023-04-13
2023-06-28,2023-12-21
2024-01-19,2024-08-08
2024-11-08,2025-05-26
2025-09-03,2026-05-29
