in_date,out_date
1992-03-06,1992-05-29
1992-12-04,1993-02-19
1993-10-29,1994-02-18
1994-12-09,1995-02-17
1995-07-28,1997-05-16
1997-08-29,1998-09-11
1999-03-05,1999-07-30
2000-02-04,2000-04-14
2000-05-05,2000-09-08
2000-10-13,2001-08-17
2001-11-02,2002-04-26
2002-10-04,2003-01-03
2003-04-11,2003-05-16
2003-08-01,2003-09-12
2004-03-05,2004-07-02
2004-08-06,2004-10-15
2005-03-25,2006-04-28
2006-07-14,2006-12-01
2007-01-05,2007-03-16
2007-05-11,2007-08-03
2008-06-13,2008-10-03
2009-03-06,2009-07-10
2010-01-01,2010-06-04
2011-04-08,2011-05-20
2011-12-16,2012-05-18
2012-10-26,2013-10-18
2013-11-29,2014-05-09
2014-08-22,2015-09-04
2015-11-20,2015-12-25
2016-11-11,2017-03-31
2017-07-14,2017-08-04
2017-09-29,2018-01-19
2018-05-11,2018-12-28
2019-03-15,2019-05-24
2019-10-18,2020-03-06
2021-02-05,2022-12-02
2023-04-28,2023-12-15
2024-02-09,2024-08-02
2024-11-01,2025-02-21
2025-07-18,2026-05-28
