in_date,out_date
2005-05-04,2005-06-10
2005-09-20,2006-06-14
2006-11-03,2007-08-07
2007-10-30,2008-05-05
2009-02-10,2010-05-31
2010-09-03,2011-03-21
2011-07-25,2011-09-05
2012-01-20,2012-04-23
2012-08-27,2013-04-15
2013-07-19,2013-09-09
2013-10-29,2013-12-02
2013-12-05,2013-12-23
2014-01-13,2014-02-03
2014-02-27,2014-09-22
2014-12-26,2015-03-25
2015-05-22,2015-06-04
2015-10-05,2015-12-28
2016-03-11,2016-06-16
2016-07-07,2016-10-20
2017-01-12,2018-02-15
2018-06-13,2018-07-17
2018-09-18,2019-04-19
2019-07-12,2020-03-19
2020-07-23,2021-02-02
2021-03-19,2021-06-29
2022-01-25,2022-05-05
2022-08-10,2022-11-07
2023-12-27,2024-06-12
2024-09-12,2024-12-10
2025-05-09,2026-03-17
