in_date,out_date
1991-08-22,1991-10-11
1992-03-05,1992-06-18
1992-11-12,1993-04-02
1993-11-01,1994-03-08
1994-12-20,1995-02-16
1995-08-10,1997-06-02
1997-07-07,1998-03-30
1998-08-17,1998-11-09
1999-04-12,1999-12-27
2000-05-08,2001-08-31
2002-09-20,2003-01-31
2004-05-07,2004-11-12
2005-04-29,2006-01-06
2007-08-03,2007-12-07
2008-06-17,2009-05-12
2011-06-28,2011-07-19
2011-09-27,2012-02-28
2012-05-15,2012-09-11
2013-06-04,2014-07-22
2014-09-30,2015-03-03
2015-03-17,2015-04-07
2015-05-05,2016-03-15
2016-05-24,2016-06-14
2016-11-15,2017-02-07
2018-06-12,2019-01-01
2020-01-30,2020-06-18
2021-03-25,2022-02-17
2022-04-14,2022-12-01
2023-06-22,2023-12-14
2024-02-01,2024-08-01
2026-03-26,2026-05-29
