symbol,in_date,entry_close,out_date,out_close,profit,profit%
GLD,2006-04-21,634.9,2008-09-05,801.1,166.2,0.261774
GLD,2009-06-02,981.72,2012-05-11,1580.0,598.28,0.60942
GLD,2012-12-11,1709.7,2013-02-15,1606.69,-103.01,-0.06025
GLD,2014-08-07,1311.24,2015-02-25,1204.78,-106.46,-0.08119
GLD,2016-02-18,1236.18,2016-12-16,1133.61,-102.57,-0.082973
GLD,2017-10-04,1274.91,2018-06-19,1275.34,0.43,0.000337
GLD,2019-02-08,1315.0,2021-03-03,1714.56,399.56,0.303848
GLD,2022-02-02,1806.33,2022-07-08,1741.46,-64.87,-0.035913
PLD,2005-05-04,190.5,2005-06-10,182.0,-8.5,-0.044619
PLD,2005-09-20,196.5,2006-06-14,286.0,89.5,0.455471
PLD,2006-11-03,330.5,2007-08-07,357.0,26.5,0.080182
PLD,2007-10-30,365.5,2008-05-05,416.0,50.5,0.138167
PLD,2009-02-10,211.0,2010-05-31,465.6,254.6,1.206635
PLD,2010-09-03,526.5,2011-03-21,745.0,218.5,0.415005
PLD,2011-07-25,804.3,2011-09-05,760.65,-43.65,-0.054271
PLD,2012-01-20,674.0,2012-04-23,668.5,-5.5,-0.00816
PLD,2012-08-27,648.8,2013-04-15,653.5,4.7,0.007244
PLD,2013-07-19,745.2,2013-09-09,683.5,-61.7,-0.082797
PLD,2013-10-29,742.82,2013-12-02,709.7,-33.12,-0.044587
PLD,2013-12-05,733.8,2013-12-23,693.75,-40.05,-0.054579
PLD,2014-01-13,739.0,2014-02-03,698.75,-40.25,-0.054465
PLD,2014-02-27,738.8,2014-09-22,799.8,61.0,0.082566
PLD,2014-12-26,817.73,2015-03-25,762.7,-55.03,-0.067296
PLD,2015-05-22,780.5,2015-06-04,755.53,-24.97,-0.031992
PLD,2015-10-05,692.94,2015-12-28,549.8,-143.14,-0.206569
PLD,2016-03-11,577.5,2016-06-16,532.82,-44.68,-0.077368
PLD,2016-07-07,608.14,2016-10-20,630.61,22.47,0.036949
PLD,2017-01-12,757.35,2018-02-15,1020.1,262.75,0.346933
PLD,2018-06-13,1011.88,2018-07-17,912.09,-99.79,-0.098618
PLD,2018-09-18,1012.61,2019-04-19,1422.0,409.39,0.404292
PLD,2019-07-12,1542.48,2020-03-19,1646.5,104.02,0.067437
PLD,2020-07-23,2144.28,2021-02-02,2241.0,96.72,0.045106
PLD,2021-03-19,2650.0,2021-06-29,2680.37,30.37,0.01146
PLD,2022-01-25,2202.0,2022-05-05,2187.5,-14.5,-0.006585
PLD,2022-08-10,2262.0,2022-11-07,1908.5,-353.5,-0.156278
PLD,2023-12-27,1153.02,2024-06-12,905.89,-247.13,-0.214333
PLD,2024-09-12,1050.25,2024-12-10,974.87,-75.38,-0.071773
PLD,2025-05-09,977.46,2026-03-17,1607.15,629.69,0.644211
PLT,2005-12-29,963.0,2006-09-26,1127.5,164.5,0.17082
PLT,2007-03-02,1202.0,2007-08-20,1244.0,42.0,0.034942
PLT,2007-10-15,1422.5,2008-07-23,1742.0,319.5,0.224605
PLT,2009-03-26,1141.0,2010-05-26,1516.0,375.0,0.328659
PLT,2010-11-10,1736.5,2011-06-22,1741.0,4.5,0.002591
PLT,2012-02-23,1722.0,2012-06-26,1421.75,-300.25,-0.174361
PLT,2012-09-12,1643.0,2013-04-02,1566.25,-76.75,-0.046713
PLT,2014-01-17,1449.8,2014-09-22,1320.75,-129.05,-0.089012
PLT,2016-03-11,963.0,2016-10-11,947.33,-15.67,-0.016272
PLT,2017-08-21,981.57,2017-12-11,888.34,-93.23,-0.09498
PLT,2018-01-24,1016.3,2018-05-16,891.55,-124.75,-0.122749
PLT,2019-02-20,829.43,2020-03-10,873.3,43.87,0.052892
PLT,2020-07-22,921.75,2021-06-23,1085.06,163.31,0.177174
PLT,2022-01-21,1029.0,2022-06-16,950.0,-79.0,-0.076774
PLT,2022-10-28,944.5,2023-06-09,1010.0,65.5,0.069349
PLT,2023-12-18,947.0,2024-11-18,966.2,19.2,0.020275
SLV,2005-05-31,7.38,2005-07-19,6.94,-0.44,-0.059621
SLV,2006-02-15,9.19,2007-07-23,13.23,4.04,0.439608
SLV,2007-12-17,13.84,2008-11-05,10.395,-3.445,-0.248916
SLV,2009-04-08,12.272,2010-03-10,16.958,4.686,0.381845
SLV,2010-03-31,17.47,2011-12-14,28.838,11.368,0.650716
SLV,2012-11-07,31.87,2013-01-23,32.29,0.42,0.013179
SLV,2016-05-25,16.306,2017-01-04,16.407,0.101,0.006194
SLV,2017-04-26,17.491,2017-05-24,17.182,-0.309,-0.017666
SLV,2017-11-22,17.134,2018-01-03,17.152,0.018,0.001051
SLV,2018-02-07,16.351,2018-02-21,16.489,0.138,0.00844
SLV,2019-03-06,15.083,2019-06-19,15.151,0.068,0.004508
SLV,2019-10-04,17.511,2020-05-15,16.617,-0.894,-0.051054
SLV,2020-09-25,22.908,2021-09-03,24.709,1.801,0.078619
SLV,2022-04-08,24.745,2022-07-29,20.329,-4.416,-0.17846
SLV,2023-01-27,23.581,2023-09-08,22.917,-0.664,-0.028158
SLV,2023-12-08,23.031,2024-01-26,22.786,-0.245,-0.010638
