date,open,high,low,close,volume,mtm_hist,macd_hist
2013-12-27,2.6308,2.715,2.2941,2.5414,237807000,,
2014-01-10,2.5571,3.3569,2.4835,3.0517,107279000,,
2014-01-24,3.1043,3.2411,2.8939,2.9938,32965000,,
2014-02-07,2.9044,3.2306,2.736,3.1517,24858900,,
2014-02-21,3.157,3.4727,3.0359,3.3832,25409000,,
2014-03-07,3.4727,3.6042,3.1991,3.5463,20792800,,
2014-03-21,3.5463,3.5674,3.1043,3.3885,13198000,,
2014-04-04,3.3885,3.5674,2.936,3.1938,21303115,,
2014-04-17,3.157,3.278,2.9991,3.1043,6024900,,
2014-05-02,3.1043,3.3516,2.7939,3.0254,10061000,,
2014-05-16,3.0254,3.178,2.9518,3.0991,5034481,,-0.015994
2014-05-30,3.1043,3.2622,3.0938,3.2306,3975000,,2e-05
2014-06-13,3.2411,3.2148,3.0254,3.0938,1647000,,-0.006735
2014-06-27,3.0833,3.1622,2.8413,3.0728,3687200,,-0.012935
2014-07-11,3.0728,3.157,3.0307,3.0465,2710600,,-0.019141
2014-07-25,3.0412,3.057,2.8939,3.0254,1356600,,-0.024435
2014-08-08,2.9991,3.5726,2.8939,3.0307,16337032,,-0.025792
2014-08-22,3.0622,3.2359,2.8939,3.178,20667958,,-0.007835
2014-09-05,3.1675,3.4569,3.0675,3.3411,22942956,,0.022643
2014-09-19,3.3674,3.7094,3.3043,3.6568,14118000,,0.077289
2014-10-03,3.6568,3.788,3.4012,3.682,9680001,,0.109137
2014-10-17,3.6555,3.9045,3.5284,3.5867,6129925,,0.111551
2014-10-31,3.5973,3.6767,3.4489,3.5602,5095400,,0.104522
2014-11-14,3.5602,3.6079,3.3959,3.4436,6121000,,0.081479
2014-11-28,3.4436,3.5072,3.1311,3.2105,6527885,,0.036134
2014-12-12,3.2158,3.2529,2.7284,3.0145,11303274,,-0.015912
2014-12-24,3.0145,3.237,2.8556,2.9403,10689000,,-0.054967
2015-01-09,2.9191,3.3377,2.8926,3.2847,7548000,,-0.034596
2015-01-23,3.2688,3.3324,3.1258,3.1522,5398000,,-0.036598
2015-02-06,3.1311,3.2317,2.9827,3.0304,3445000,,-0.050546
2015-02-18,3.0198,3.0198,2.8397,2.9456,9880500,,-0.066537
2015-03-06,2.9456,3.0463,2.8185,2.9986,5328000,,-0.066577
2015-03-20,2.9986,3.0463,2.6383,2.6966,6440700,,-0.099383
2015-04-02,2.6807,3.1469,2.6225,3.0039,39350000,,-0.077595
2015-04-17,3.0357,3.6555,3.0357,3.1311,40821000,,-0.045788
2015-04-30,3.1522,3.4118,3.0463,3.2847,25776500,,-0.006389
2015-05-15,3.3165,3.3165,2.9244,3.0516,14728500,,-0.010383
2015-05-29,3.0622,3.4701,3.0516,3.1152,71025000,,-0.004694
2015-06-12,3.1416,3.2794,2.7446,3.107,28931610,,-0.002061
2015-06-26,3.1123,3.2242,2.8991,2.9418,14479947,,-0.020062
2015-07-10,2.9471,3.0644,2.2809,2.9631,41364333,,-0.027286
