date,open,high,low,close,volume,mtm_hist,macd_hist
2008-03-31,1.7285,1.7605,1.717,1.7555,1036,,
2008-04-03,1.7555,1.7555,1.716,1.7185,1086,,
2008-04-08,1.7195,1.7195,1.687,1.6955,854,,
2008-04-11,1.69,1.6995,1.672,1.6885,972,,
2008-04-16,1.6905,1.71,1.6605,1.6625,756,,
2008-04-21,1.6645,1.672,1.653,1.657,935,,
2008-04-24,1.6625,1.6755,1.646,1.6745,1172,,
2008-04-29,1.6745,1.7125,1.6595,1.7055,809,,
2008-05-02,1.7065,1.7075,1.6445,1.6495,747,,
2008-05-07,1.6495,1.6915,1.645,1.6885,794,,
2008-05-12,1.6845,1.7025,1.6615,1.6635,1131,,
2008-05-15,1.6625,1.6725,1.645,1.6535,919,,
2008-05-20,1.6515,1.6585,1.633,1.6505,909,,
2008-05-23,1.6505,1.6655,1.641,1.6605,869,,
2008-05-28,1.6605,1.6745,1.6503,1.6525,805,,
2008-06-02,1.6525,1.661,1.622,1.63,839,,-0.023559
2008-06-05,1.6255,1.6365,1.617,1.6265,837,,-0.025042
2008-06-10,1.6265,1.651,1.62,1.644,854,,-0.022194
2008-06-13,1.6435,1.6505,1.626,1.6355,1001,,-0.021082
2008-06-18,1.6355,1.6388,1.598,1.6085,906,,-0.02421
2008-06-23,1.6065,1.6155,1.595,1.6115,964,,-0.024863
2008-06-26,1.6135,1.6135,1.589,1.6025,873,,-0.025952
2008-07-01,1.6025,1.6125,1.588,1.6015,907,,-0.025934
2008-07-04,1.5985,1.6145,1.5925,1.6075,801,,-0.024042
2008-07-09,1.6075,1.6135,1.59,1.6095,1052,,-0.021706
2008-07-14,1.6095,1.6195,1.59,1.5955,896,,-0.021857
2008-07-17,1.5975,1.5985,1.585,1.588,851,,-0.022477
2008-07-22,1.6005,1.6005,1.572,1.574,997,,-0.024466
2008-07-25,1.5795,1.5845,1.565,1.5735,1395,,-0.024981
2008-07-30,1.5735,1.589,1.559,1.5625,1257,,-0.026315
2008-08-04,1.5625,1.589,1.5555,1.5625,799,,-0.026271
2008-08-07,1.5595,1.5965,1.559,1.5965,927,,-0.019646
2008-08-12,1.5985,1.6275,1.59,1.6245,853,,-0.010104
2008-08-15,1.6195,1.6415,1.59,1.6365,844,,-0.001734
2008-08-20,1.64,1.652,1.6155,1.6185,907,,0.000574
2008-08-25,1.6205,1.634,1.608,1.6325,832,,0.004363
2008-08-28,1.6315,1.6445,1.616,1.6315,1116,0.020351,0.006436
2008-09-02,1.6345,1.6655,1.6195,1.653,893,0.021862,0.01114
2008-09-05,1.6555,1.747,1.649,1.7155,1111,0.02576,0.024234
2008-09-10,1.7155,1.794,1.693,1.7855,1132,0.031367,0.043437
2008-09-15,1.7885,1.84,1.753,1.8155,822,0.037242,0.059121
2008-09-18,1.8135,1.9605,1.7835,1.8945,871,0.044697,0.080296
2008-09-23,1.8875,1.8955,1.7865,1.8445,860,0.047354,0.08254
2008-09-26,1.8435,1.8725,1.8125,1.8445,919,0.048113,0.081179
2008-10-01,1.8515,1.9735,1.849,1.9165,1003,0.050565,0.089694
2008-10-06,1.9185,2.2005,1.9175,2.1785,787,0.062537,0.136079
2008-10-09,2.1965,2.4505,2.16,2.2795,686,0.075098,0.177714
2008-10-14,2.2675,2.3175,2.0395,2.0945,758,0.078003,0.166888
2008-10-17,2.0755,2.2535,2.0755,2.1205,1229,0.079919,0.158826
2008-10-22,2.1205,2.3885,2.0855,2.382,1851,0.088209,0.192355
2008-10-27,2.3795,2.5305,2.231,2.2535,1629,0.086953,0.185425
2008-10-30,2.2535,2.26,2.0935,2.0955,1358,0.078242,0.148269
2008-11-04,2.1045,2.203,2.091,2.1185,1277,0.068353,0.123734
2008-11-07,2.1185,2.2255,2.101,2.1455,1612,0.062504,0.108649
2008-11-12,2.1475,2.3285,2.1115,2.3285,792,0.063954,0.126246
2008-11-17,2.3285,2.3835,2.22,2.2785,607,0.060101,0.12469
2008-11-20,2.2785,2.4135,2.27,2.401,781,0.05127,0.140106
2008-11-25,2.396,2.4765,2.2815,2.321,562,0.036875,0.131667
2008-11-28,2.3275,2.363,2.204,2.3035,672,0.030928,0.118981
2008-12-03,2.3035,2.5035,2.296,2.5035,746,0.032223,0.1406
2008-12-08,2.5035,2.6185,2.397,2.5115,628,0.023635,0.150844
2008-12-11,2.5115,2.5455,2.2915,2.3665,722,0.01576,0.12786
2008-12-16,2.3665,2.4115,2.3235,2.3235,605,0.013409,0.10185
2008-12-19,2.3235,2.4655,2.3065,2.3535,673,0.011623,0.087075
2008-12-24,2.3535,2.407,2.353,2.3755,775,0.009872,0.078534
2008-12-29,2.3755,2.4175,2.3435,2.3865,605,0.001979,0.07236
2009-01-01,2.3865,2.39,2.3045,2.3315,711,-0.004718,0.056793
2009-01-06,2.3315,2.3405,2.1615,2.1695,857,-0.020729,0.017846
2009-01-09,2.1795,2.3065,2.1695,2.2515,702,-0.027736,0.006481
2009-01-14,2.2515,2.3755,2.25,2.3695,809,-0.028256,0.018932
2009-01-19,2.3655,2.396,2.3085,2.3545,663,-0.036415,0.023622
2009-01-22,2.3545,2.379,2.3155,2.3295,776,-0.044052,0.021582
2009-01-27,2.3165,2.3635,2.29,2.3425,691,-0.044123,0.021756
2009-01-30,2.3425,2.3425,2.2485,2.3225,824,-0.042967,0.017773
2009-02-04,2.3195,2.3655,2.2765,2.3035,795,-0.043477,0.011472
2009-02-09,2.3035,2.321,2.233,2.2615,779,-0.045909,5.7e-05
2009-02-12,2.2665,2.3145,2.2419,2.3085,630,-0.046199,0.000759
2009-02-17,2.2935,2.3345,2.25,2.3315,764,-0.043169,0.005042
2009-02-20,2.3305,2.3985,2.3125,2.3875,865,-0.032246,0.016983
2009-02-25,2.3915,2.3945,2.3685,2.3685,539,-0.026731,0.020745
2009-03-02,2.3645,2.4455,2.3425,2.4455,798,-0.02349,0.03536
2009-03-05,2.4465,2.4515,2.3625,2.3875,913,-0.022222,0.033635
2009-03-10,2.3915,2.3965,2.3375,2.3385,889,-0.021885,0.023181
2009-03-13,2.3325,2.36,2.2745,2.2925,686,-0.023612,0.008083
2009-03-18,2.3045,2.3075,2.249,2.2575,730,-0.025395,-0.007587
2009-03-23,2.2505,2.2785,2.2225,2.2475,797,-0.02632,-0.018889
2009-03-26,2.2455,2.2655,2.2195,2.2455,853,-0.025383,-0.025713
2009-03-31,2.2475,2.3375,2.23,2.3145,720,-0.023588,-0.017553
2009-04-03,2.3215,2.3235,2.193,2.2055,781,-0.026806,-0.030139
2009-04-08,2.201,2.2435,2.192,2.2055,695,-0.031308,-0.037059
2009-04-13,2.2025,2.22,2.1635,2.1685,642,-0.035422,-0.046393
2009-04-16,2.1725,2.2195,2.1695,2.1725,753,-0.04122,-0.050044
2009-04-21,2.1755,2.2485,2.17,2.2215,751,-0.04169,-0.042427
2009-04-24,2.2215,2.239,2.1805,2.1805,870,-0.041437,-0.043092
2009-04-29,2.182,2.2365,2.16,2.1805,221,-0.039185,-0.042062
2009-05-04,2.1795,2.1915,2.1175,2.1175,186,-0.038045,-0.050587
2009-05-07,2.1145,2.1585,2.0905,2.1035,223,-0.036942,-0.056613
2009-05-12,2.1115,2.1115,2.0465,2.0705,245,-0.036879,-0.064054
2009-05-15,2.0715,2.1225,2.06,2.1065,283,-0.037745,-0.06054
2009-05-20,2.0705,2.1125,2.014,2.0365,223,-0.036703,-0.068055
2009-05-25,2.0325,2.0435,2.014,2.0245,208,-0.035988,-0.072521
2009-05-28,2.0265,2.0465,1.9995,2.0005,186,-0.034621,-0.076931
2009-06-02,2.0035,2.0105,1.9185,1.9245,725,-0.036175,-0.089898
2009-06-05,1.9215,1.9765,1.9125,1.9595,670,-0.037674,-0.089167
2009-06-10,1.9605,1.9825,1.9235,1.9455,695,-0.037598,-0.088061
2009-06-15,1.9465,1.9595,1.9185,1.9515,729,-0.037004,-0.083396
2009-06-18,1.9505,1.9995,1.9335,1.9765,700,-0.032951,-0.073451
2009-06-23,1.9775,2.0365,1.952,1.9865,733,-0.028455,-0.063033
2009-06-26,1.9795,2.0,1.9235,1.937,1179,-0.025131,-0.062668
2009-07-01,1.9335,1.9675,1.925,1.9295,554,-0.0238,-0.061592
2009-07-06,1.9325,1.9825,1.9325,1.9535,585,-0.019028,-0.05481
2009-07-09,1.9535,2.024,1.933,1.9895,736,-0.013165,-0.042643
2009-07-14,1.9895,2.0275,1.964,1.9655,676,-0.008231,-0.037574
2009-07-17,1.9605,1.964,1.9205,1.9285,632,-0.002659,-0.039336
2009-07-22,1.9265,1.93,1.8915,1.9035,702,-0.000272,-0.043325
2009-07-27,1.9045,1.9055,1.8725,1.8725,752,0.001064,-0.049593
2009-07-30,1.8735,1.908,1.872,1.8785,720,0.002156,-0.050869
2009-08-04,1.8825,1.885,1.82,1.821,689,-1.9e-05,-0.059626
2009-08-07,1.828,1.8445,1.8065,1.8205,554,-0.002198,-0.063225
2009-08-12,1.8205,1.859,1.8155,1.8355,646,-0.001585,-0.060848
2009-08-17,1.8395,1.8805,1.819,1.8755,737,0.000693,-0.050581
2009-08-20,1.8805,1.8805,1.827,1.8415,773,0.000413,-0.048125
2009-08-25,1.8435,1.8585,1.8225,1.8575,729,-0.000561,-0.04227
