date,open,high,low,close,volume,mtm_hist,macd_hist
1990-11-30,1.162,1.1682,1.159,1.1658,0,,
1990-12-31,1.165,1.1673,1.1536,1.1605,0,,
1991-01-31,1.1605,1.1667,1.1464,1.1629,0,,
1991-02-28,1.163,1.1636,1.149,1.1499,0,,
1991-03-29,1.151,1.1643,1.1502,1.1595,0,,
1991-04-30,1.1597,1.16,1.1474,1.152,0,,
1991-05-31,1.151,1.1541,1.1435,1.1453,0,,
1991-06-28,1.145,1.1505,1.1413,1.1424,0,,
1991-07-31,1.1417,1.1615,1.1408,1.1519,0,,
1991-08-30,1.1524,1.1524,1.1392,1.1422,0,,
1991-09-30,1.1411,1.1428,1.1308,1.1318,0,,
1991-10-31,1.1325,1.1337,1.122,1.123,0,,
1991-11-29,1.1222,1.1412,1.119,1.135,0,,
1991-12-31,1.135,1.1629,1.1328,1.1558,0,,
1992-01-31,1.1547,1.1793,1.1395,1.1752,0,,
1992-02-28,1.174,1.1925,1.1726,1.182,0,,0.008229
1992-03-31,1.1831,1.2005,1.1817,1.1902,0,,0.012265
1992-04-30,1.1895,1.1985,1.1783,1.196,0,,0.01537
1992-05-29,1.1892,1.211,1.1883,1.2048,0,,0.01829
1992-06-30,1.2035,1.2063,1.1899,1.1972,0,,0.018238
1992-07-31,1.2015,1.205,1.1819,1.1836,0,,0.015307
1992-08-31,1.1843,1.2003,1.1813,1.1947,0,,0.01481
1992-09-30,1.1951,1.2625,1.1915,1.246,0,,0.022621
1992-10-30,1.246,1.2587,1.2352,1.2394,0,,0.025675
1992-11-30,1.2422,1.2953,1.2399,1.2883,0,,0.034955
1992-12-31,1.29,1.29,1.2592,1.2703,0,,0.036603
1993-01-29,1.2745,1.2888,1.2652,1.2674,0,,0.035924
1993-02-26,1.2668,1.2725,1.2486,1.2491,0,,0.031213
1993-03-31,1.2527,1.26,1.2392,1.2593,0,,0.028909
1993-04-30,1.262,1.281,1.2525,1.2711,0,,0.028469
1993-05-31,1.27,1.279,1.2594,1.2713,0,,0.027268
1993-06-30,1.271,1.2903,1.2695,1.2822,0,,0.027426
1993-07-30,1.2825,1.2952,1.273,1.2861,0,,0.027259
1993-08-31,1.2855,1.3322,1.283,1.3195,0,,0.031852
1993-09-30,1.3197,1.338,1.3077,1.334,0,,0.036112
1993-10-29,1.3345,1.3441,1.299,1.3207,0,,0.035348
1993-11-30,1.32,1.3391,1.2908,1.3355,0,,0.036166
1993-12-31,1.336,1.3485,1.3205,1.3254,0,,0.033768
1994-01-31,1.325,1.3318,1.3082,1.3297,0,,0.031845
1994-02-28,1.33,1.3563,1.325,1.35,0,,0.032974
1994-03-31,1.3498,1.3855,1.348,1.3836,0,,0.038224
1994-04-29,1.3843,1.399,1.371,1.3823,0,,0.04003
