date,open,high,low,close,volume,mtm_hist,macd_hist
2011-06-17,6.4735,6.487,6.467,6.4685,30,,
2011-06-24,6.4685,6.479,6.461,6.468,66,,
2011-07-01,6.468,6.48,6.468,6.48,22,,
2011-07-08,6.48,6.48,6.456,6.457,32,,
2011-07-15,6.457,6.48,6.457,6.461,102,,
2011-07-22,6.461,6.4665,6.444,6.4455,61,,
2011-07-29,6.4455,6.447,6.429,6.429,246,,
2011-08-05,6.429,6.435,6.417,6.4345,104,,
2011-08-12,6.4345,6.444,6.379,6.38,174,,
2011-08-19,6.38,6.384,6.3655,6.374,280,,
2011-08-26,6.374,6.379,6.3665,6.373,121,,
2011-09-02,6.373,6.373,6.349,6.352,229,,
2011-09-09,6.352,6.3635,6.352,6.36,172,,
2011-09-16,6.36,6.3965,6.36,6.376,198,,
2011-09-23,6.376,6.495,6.376,6.495,150,,
2011-09-30,6.495,6.51,6.418,6.499,115,,
2011-10-07,6.499,6.499,6.417,6.418,68,,
2011-10-14,6.418,6.462,6.397,6.415,21,,
2011-10-21,6.415,6.438,6.412,6.42,254,,
2011-10-28,6.42,6.42,6.376,6.376,160,,
2011-11-04,6.376,6.376,6.376,6.376,10,,-0.010755
2011-11-11,6.376,6.3815,6.3525,6.3525,16,,-0.014211
2011-11-18,6.357,6.359,6.344,6.357,15,,-0.016273
2011-11-25,6.357,6.393,6.357,6.393,15,,-0.014862
2011-12-02,6.393,6.398,6.378,6.384,19,,-0.014249
2011-12-09,6.384,6.384,6.3675,6.368,25,,-0.014781
2011-12-16,6.368,6.403,6.362,6.366,15,,-0.015112
2011-12-23,6.366,6.366,6.345,6.354,16,,-0.016043
2011-12-30,6.354,6.354,6.33,6.343,17,,-0.017338
2012-01-06,6.343,6.343,6.311,6.311,16,,-0.020481
2012-01-13,6.311,6.314,6.304,6.304,19,,-0.023082
2012-01-20,6.304,6.314,6.282,6.306,16,,-0.024551
2012-01-27,6.306,6.307,6.285,6.286,18,,-0.026807
2012-02-03,6.286,6.313,6.286,6.292,100,,-0.027655
2012-02-10,6.292,6.2966,6.2815,6.296,255,,-0.027576
2012-02-17,6.296,6.3005,6.2905,6.295,240,,-0.027174
2012-02-24,6.295,6.298,6.289,6.295,192,,-0.026458
2012-03-02,6.295,6.2985,6.2885,6.297,98,,-0.025363
2012-03-09,6.296,6.314,6.295,6.3075,143,,-0.023353
2012-03-16,6.3153,6.3445,6.3103,6.321,405,,-0.020455
2012-03-23,6.321,6.326,6.3045,6.31,287,,-0.018782
2012-03-30,6.31,6.3165,6.305,6.309,364,,-0.017306
2012-04-06,6.309,6.314,6.295,6.307,157,-0.000309,-0.016077
2012-04-13,6.307,6.311,6.2885,6.295,273,-0.000246,-0.015812
2012-04-20,6.295,6.3085,6.2925,6.305,480,-0.000226,-0.014613
2012-04-27,6.305,6.305,6.297,6.304,207,-0.000489,-0.01356
2012-05-04,6.304,6.3055,6.293,6.304,301,-0.000688,-0.012556
2012-05-11,6.304,6.313,6.3025,6.3095,236,-0.001025,-0.011189
2012-05-18,6.3095,6.325,6.3095,6.323,284,-0.001335,-0.008961
2012-05-25,6.323,6.3445,6.299,6.3445,196,-0.001466,-0.005509
2012-06-01,6.3445,6.366,6.336,6.363,153,-0.001729,-0.001408
2012-06-08,6.363,6.37,6.3405,6.37,364,-0.002063,0.00225
2012-06-15,6.3642,6.377,6.358,6.3656,100051,-0.002282,0.004653
2012-06-22,6.3656,6.3729,6.3543,6.3675,91785,-0.002515,0.006548
2012-06-29,6.3703,6.3773,6.3516,6.352,93286,-0.002636,0.00671
2012-07-06,6.352,6.3712,6.3453,6.3706,39098,-0.003027,0.00814
2012-07-13,6.3715,6.3784,6.3608,6.3703,62840,-0.003337,0.009077
2012-07-20,6.3703,6.3794,6.3637,6.3701,52902,-0.003523,0.009634
2012-07-27,6.3675,6.3935,6.3663,6.3819,66237,-0.003831,0.010805
2012-08-03,6.379,6.3893,6.3718,6.3761,50938,-0.003944,0.011088
2012-08-10,6.3767,6.3781,6.3601,6.3639,40861,-0.003876,0.01021
2012-08-17,6.3639,6.3733,6.3605,6.3641,35841,-0.00378,0.009406
2012-08-24,6.3641,6.3662,6.3516,6.359,42260,-0.003622,0.008268
2012-08-31,6.359,6.3642,6.3484,6.3496,39130,-0.003376,0.006568
2012-09-07,6.3496,6.3548,6.3386,6.3389,31735,-0.003,0.00437
2012-09-14,6.3389,6.345,6.3132,6.3195,47586,-0.002452,0.00117
2012-09-21,6.3195,6.3315,6.3071,6.3117,48950,-0.00201,-0.001864
2012-09-28,6.3117,6.3164,6.2995,6.304,49180,-0.001594,-0.004717
2012-10-05,6.304,6.3069,6.2916,6.2917,39020,-0.001179,-0.007739
2012-10-12,6.2917,6.3011,6.266,6.2709,38458,-0.000781,-0.011487
2012-10-19,6.2709,6.2742,6.2431,6.2549,37491,-0.000288,-0.015364
2012-10-26,6.2553,6.2617,6.2275,6.2413,39242,0.000184,-0.019099
2012-11-02,6.2435,6.2483,6.237,6.2402,40932,0.00056,-0.021723
2012-11-09,6.2451,6.3177,6.225,6.2336,45185,0.000926,-0.023881
2012-11-16,6.2283,6.2441,6.2076,6.2402,40145,0.001246,-0.024654
2012-11-23,6.2373,6.2401,6.2235,6.2241,37105,0.001726,-0.026086
2012-11-30,6.2242,6.2281,6.2015,6.2125,43193,0.002277,-0.027654
2012-12-07,6.2096,6.2167,6.202,6.2088,34598,0.00275,-0.028704
