date,open,high,low,close,volume,mtm_hist,macd_hist
2005-07-29,8.2767,8.2865,8.1051,8.1056,4998,,
2005-08-31,8.1056,8.109,8.0955,8.0998,5558,,
2005-09-30,8.0993,8.0998,8.071,8.076,5012,,
2005-10-31,8.076,8.0915,8.0665,8.068,3721,,
2005-11-30,8.068,8.0872,8.0665,8.076,4357,,
2005-12-30,8.076,8.0803,8.0675,8.0685,6219,,
2006-01-31,8.0685,8.0697,8.0582,8.0622,5011,,
2006-02-28,8.0622,8.0705,8.038,8.038,5384,,
2006-03-31,8.038,8.0502,8.0155,8.0155,4691,,
2006-04-28,8.0155,8.0215,8.0,8.0115,2210,,
2006-05-31,8.0115,8.0777,7.9978,8.0213,419,,
2006-06-30,8.0213,8.0225,7.9905,7.9905,504,,
2006-07-31,7.9905,8.004,7.9645,7.969,386,,
2006-08-31,7.9685,8.0,7.9522,7.9522,427,,
2006-09-29,7.9522,7.9552,7.893,7.9055,361,,
2006-10-31,7.9055,7.9178,7.8733,7.8765,791,,
2006-11-30,7.8765,7.8813,7.8299,7.832,711,,
2006-12-29,7.8329,7.8348,7.8062,7.8065,855,,
2007-01-31,7.809,7.817,7.768,7.774,948,,
2007-02-28,7.774,7.7995,7.7313,7.736,649,,
2007-03-30,7.74,7.774,7.724,7.7297,779,,
2007-04-30,7.724,7.7345,7.704,7.706,2303,,
2007-05-31,7.706,7.706,7.643,7.646,4810,,
2007-06-29,7.646,7.6955,7.6105,7.612,5363,,
2007-07-31,7.612,7.6123,7.553,7.573,9150,,
2007-08-31,7.573,7.6085,7.54,7.5445,7325,,-0.067507
2007-09-28,7.5445,7.5551,7.5002,7.5055,4015,,-0.067944
2007-10-31,7.5055,7.5285,7.4615,7.472,4097,,-0.068418
2007-11-30,7.472,7.4875,7.3805,7.3975,4028,,-0.069611
2007-12-31,7.3975,7.414,7.303,7.3036,3613,,-0.071727
2008-01-31,7.3046,7.3046,7.18,7.1828,3529,,-0.075058
2008-02-29,7.1828,7.2045,7.1035,7.1125,3252,,-0.078541
2008-03-31,7.1125,7.1145,7.01,7.013,3528,,-0.082619
2008-04-30,7.013,7.022,6.98,6.988,3926,,-0.085916
2008-05-30,6.988,7.0057,6.9345,6.941,5136,,-0.088904
2008-06-30,6.941,6.9485,6.854,6.8553,5847,,-0.092263
2008-07-31,6.8553,6.87,6.8105,6.832,8556,,-0.094861
2008-08-29,6.832,6.8808,6.8253,6.838,7004,,-0.096309
2008-09-30,6.8492,6.8523,6.8095,6.8441,7255,,-0.096776
2008-10-31,6.8441,6.8555,6.811,6.84,10037,,-0.096586
2008-11-28,6.84,6.8413,6.8175,6.8264,7264,,-0.096005
2008-12-31,6.8264,6.8883,6.8175,6.8235,5702,,-0.094919
2009-01-30,6.8235,6.855,6.8215,6.8402,5703,,-0.093084
2009-02-27,6.8355,6.8508,6.8251,6.8405,4503,,-0.090907
2009-03-31,6.8405,6.8471,6.8217,6.8339,4322,,-0.088574
2009-04-30,6.8339,6.8388,6.8175,6.818,6938,,-0.086281
2009-05-29,6.818,6.8377,6.8103,6.8288,4796,,-0.083589
2009-06-30,6.8288,6.8405,6.8255,6.8312,9184,,-0.080719
2009-07-31,6.8312,6.8356,6.8293,6.8329,6380,,-0.077731
2009-08-31,6.8329,6.837,6.8291,6.8309,5289,,-0.074726
2009-09-30,6.8309,6.8337,6.8245,6.827,6370,,-0.071759
2009-10-30,6.827,6.836,6.8225,6.8274,5592,-0.047402,-0.068772
2009-11-30,6.8274,6.833,6.8247,6.828,8522,-0.047621,-0.065784
2009-12-31,6.828,6.8325,6.824,6.8269,5920,-0.048862,-0.062845
2010-01-29,6.8269,6.8305,6.8243,6.8265,5675,-0.050233,-0.059954
2010-02-26,6.8278,6.8356,6.825,6.8268,4579,-0.051847,-0.057112
2010-03-31,6.8268,6.8308,6.8247,6.8268,6550,-0.053348,-0.054335
2010-04-30,6.8268,6.8305,6.8225,6.8245,5384,-0.054964,-0.05167
2010-05-31,6.8257,6.8324,6.8245,6.8288,3984,-0.056682,-0.049007
2010-06-30,6.8288,6.8336,6.7795,6.7825,3273,-0.058208,-0.047215
2010-07-30,6.7825,6.7975,6.7685,6.7745,3456,-0.061107,-0.045523
2010-08-31,6.7745,6.8108,6.745,6.8079,4723,-0.066901,-0.043229
2010-09-30,6.8079,6.8158,6.6843,6.6905,5408,-0.069575,-0.042985
2010-10-29,6.6915,6.6922,6.64,6.6717,5109,-0.073132,-0.042805
2010-11-30,6.6717,6.6963,6.6195,6.666,3973,-0.07572,-0.042462
2010-12-31,6.667,6.6778,6.5895,6.591,5313,-0.076237,-0.04315
2011-01-31,6.591,6.6377,6.575,6.6015,5887,-0.078409,-0.043262
2011-02-28,6.6027,6.6027,6.551,6.5723,5104,-0.079155,-0.043556
2011-03-31,6.5723,6.578,6.544,6.5493,6009,-0.078131,-0.043898
2011-04-29,6.5493,6.5506,6.479,6.491,5612,-0.074752,-0.044871
2011-05-31,6.491,6.5098,6.478,6.48,8321,-0.071058,-0.045574
2011-06-30,6.48,6.487,6.4575,6.4645,7697,-0.067284,-0.046119
