date,open,high,low,close,volume,mtm_hist,macd_hist
1997-07-21,1.119,1.1254,1.0935,1.099,0,,
1997-07-31,1.099,1.1,1.066,1.0728,0,,
1997-08-12,1.0704,1.071,1.0414,1.0552,0,,
1997-08-22,1.0549,1.087,1.0549,1.0804,0,,
1997-09-03,1.081,1.0995,1.0671,1.0774,0,,
1997-09-15,1.0776,1.1149,1.073,1.1109,0,,
1997-09-25,1.11,1.1145,1.0891,1.1135,0,,
1997-10-07,1.1148,1.122,1.1004,1.1145,0,,
1997-10-17,1.1144,1.1286,1.1059,1.1105,0,,
1997-10-29,1.1109,1.151,1.1,1.1405,0,,
1997-11-10,1.1403,1.1594,1.1304,1.1575,0,,
1997-11-20,1.157,1.163,1.136,1.14,0,,
1997-12-02,1.1383,1.1455,1.1132,1.1141,0,,
1997-12-12,1.1152,1.1232,1.101,1.1118,0,,
1997-12-24,1.1105,1.121,1.103,1.1146,0,,
1998-01-06,1.1146,1.1164,1.078,1.0803,0,,
1998-01-16,1.078,1.0926,1.076,1.0779,0,,
1998-01-28,1.0801,1.1191,1.07,1.0872,0,,
1998-02-09,1.0865,1.1045,1.0728,1.0841,0,,
1998-02-19,1.0855,1.0925,1.0775,1.0883,0,,
1998-03-03,1.0888,1.103,1.0823,1.0928,0,,-0.00831
1998-03-13,1.0924,1.0946,1.0757,1.0907,0,,-0.009463
1998-03-25,1.0928,1.095,1.0803,1.0862,0,,-0.012694
1998-04-06,1.0869,1.0921,1.0695,1.0786,0,,-0.018449
1998-04-16,1.0813,1.1037,1.0764,1.0987,0,,0.001501
1998-04-28,1.0992,1.1088,1.0927,1.1013,0,,0.003728
1998-05-08,1.1029,1.1194,1.0954,1.1118,0,,0.012935
1998-05-20,1.1132,1.1155,1.099,1.1112,0,,0.011213
1998-06-01,1.1137,1.1206,1.0987,1.1074,0,,0.006739
1998-06-11,1.1064,1.1176,1.0894,1.0894,0,,-0.010237
1998-06-23,1.0906,1.1098,1.0861,1.0979,0,,-0.001579
1998-07-03,1.096,1.1045,1.0839,1.0875,0,,-0.01089
1998-07-15,1.0886,1.0999,1.0785,1.0978,0,,-0.000536
