date,open,high,low,close,volume,mtm_hist,macd_hist
1990-11-30,1.97,1.9865,1.9289,1.9435,0,,
1990-12-31,1.9505,1.962,1.868,1.93,0,,
1991-01-31,1.9301,1.976,1.8865,1.967,0,,
1991-02-28,1.9675,2.005,1.9085,1.913,0,,
1991-03-29,1.9135,1.9135,1.731,1.751,0,,
1991-04-30,1.75,1.8008,1.6665,1.726,0,,
1991-05-31,1.7293,1.7595,1.6895,1.698,0,,
1991-06-28,1.6978,1.7055,1.604,1.622,0,,
1991-07-31,1.63,1.6995,1.5995,1.687,0,,
1991-08-30,1.687,1.7209,1.615,1.6815,0,,
1991-09-30,1.6815,1.759,1.6795,1.751,0,,
1991-10-31,1.7465,1.757,1.6915,1.7392,0,,
1991-11-29,1.7425,1.807,1.738,1.7679,0,,
1991-12-31,1.7755,1.89,1.77,1.8707,0,,
1992-01-31,1.8697,1.8897,1.7376,1.7875,0,,
1992-02-28,1.7888,1.841,1.731,1.7577,0,,
1992-03-31,1.752,1.763,1.69,1.7363,0,,
1992-04-30,1.7355,1.7813,1.7194,1.7769,0,,
1992-05-29,1.7765,1.8436,1.7754,1.8297,0,,
1992-06-30,1.83,1.9112,1.8045,1.905,0,,
1992-07-31,1.9035,1.9595,1.889,1.9275,0,,
1992-08-31,1.9243,2.002,1.901,1.9884,0,,
1992-09-30,1.9803,2.0115,1.683,1.7773,0,,
1992-10-30,1.7835,1.7845,1.555,1.5585,0,,
1992-11-30,1.554,1.57,1.501,1.5171,0,,
1992-12-31,1.5175,1.612,1.49,1.5105,0,,-0.065718
1993-01-29,1.51,1.568,1.4825,1.4861,0,,-0.081409
1993-02-26,1.521,1.521,1.4075,1.4255,0,,-0.098122
1993-03-31,1.43,1.5204,1.422,1.5145,0,0.159262,-0.101566
1993-04-30,1.5145,1.5997,1.5078,1.574,0,0.173624,-0.09746
1993-05-31,1.5705,1.59,1.5105,1.563,0,0.086935,-0.094107
1993-06-30,1.562,1.5705,1.4644,1.4912,0,0.110516,-0.097007
1993-07-30,1.491,1.53,1.469,1.4825,0,0.083842,-0.098852
1993-08-31,1.481,1.523,1.451,1.4925,0,0.098093,-0.098129
1993-09-30,1.4917,1.5615,1.4865,1.496,0,0.126337,-0.096036
1993-10-29,1.496,1.546,1.4705,1.48,0,0.186546,-0.094717
1993-11-30,1.484,1.498,1.4643,1.4858,0,0.174211,-0.091992
1993-12-31,1.4855,1.511,1.473,1.4775,0,0.208638,-0.089523
1994-01-31,1.479,1.5115,1.475,1.5069,0,-0.02731,-0.08379
1994-02-28,1.5075,1.508,1.455,1.4855,0,-0.192609,-0.080314
1994-03-31,1.488,1.5055,1.474,1.484,0,-0.199293,-0.076779
1994-04-29,1.483,1.5226,1.4616,1.5185,0,-0.206051,-0.069909
1994-05-31,1.5165,1.521,1.486,1.5113,0,-0.191358,-0.064412
1994-06-30,1.5115,1.5595,1.5025,1.5443,0,-0.24425,-0.056319
1994-07-29,1.5437,1.576,1.52,1.544,0,-0.132814,-0.049407
1994-08-31,1.55,1.5603,1.526,1.534,0,-0.054269,-0.04439
1994-09-30,1.534,1.5869,1.533,1.5775,0,-0.093231,-0.035943
1994-10-31,1.5793,1.6405,1.5745,1.6355,0,-0.191169,-0.023611
1994-11-30,1.6355,1.6442,1.5596,1.5645,0,-0.110459,-0.020378
1994-12-30,1.565,1.576,1.539,1.5647,0,-0.08628,-0.017614
1995-01-31,1.566,1.6019,1.5485,1.5795,0,-0.08364,-0.013893
1995-02-28,1.58,1.5965,1.5502,1.5839,0,-0.089177,-0.010443
1995-03-31,1.5835,1.6575,1.5645,1.6215,0,-0.103694,-0.00417
1995-04-28,1.6243,1.6275,1.5865,1.6125,0,-0.088281,-0.000112
1995-05-31,1.608,1.6236,1.5476,1.5863,0,-0.028012,0.000594
1995-06-30,1.586,1.6165,1.5705,1.5955,0,-0.050239,0.001984
1995-07-31,1.5921,1.6057,1.5855,1.597,0,-0.045633,0.003171
1995-08-31,1.5963,1.6115,1.5302,1.5496,0,0.031086,-0.000341
1995-09-29,1.5491,1.5985,1.5425,1.5848,0,-0.009698,0.000212
1995-10-31,1.5822,1.5949,1.5671,1.5798,0,0.024259,0.000173
1995-11-30,1.5792,1.5861,1.5253,1.5336,0,0.060136,-0.004136
1995-12-29,1.534,1.5622,1.5217,1.5496,0,0.02926,-0.005929
1996-01-31,1.5525,1.5613,1.4975,1.5137,0,0.093137,-0.010564
1996-02-29,1.5145,1.5549,1.512,1.5318,0,0.114031,-0.012333
1996-03-29,1.5315,1.5401,1.5157,1.527,0,0.040998,-0.013991
1996-04-30,1.5252,1.5327,1.4997,1.5064,0,0.05297,-0.017004
1996-05-31,1.5057,1.554,1.4893,1.551,0,0.01986,-0.01499
1996-06-28,1.5526,1.5566,1.5282,1.5527,0,0.019337,-0.013093
1996-07-31,1.5516,1.5674,1.5375,1.5566,0,0.04546,-0.011107
1996-08-30,1.5573,1.5647,1.5348,1.5647,0,0.024309,-0.008687
1996-09-30,1.561,1.5717,1.5494,1.5653,0,-0.002135,-0.006658
1996-10-31,1.5656,1.636,1.5612,1.6271,0,-0.046916,0.000713
