date,open,high,low,close,volume,mtm_hist,macd_hist
2004-11-19,435.3,448.2,423.5,446.7,24210,,
2004-12-01,446.7,456.8,445.38,453.3,25193,,
2004-12-13,454.1,456.7,431.13,438.9,32785,,
2004-12-23,438.8,447.4,434.6,440.38,44131,,
2005-01-04,441.4,445.3,423.43,426.8,41502,,
2005-01-14,426.9,428.75,416.15,422.65,55354,,
2005-01-26,422.5,428.2,419.75,426.4,48063,,
2005-02-07,426.1,428.45,412.28,413.6,47015,,
2005-02-17,413.5,428.4,410.0,427.0,60936,,
2005-03-01,426.9,438.0,422.9,432.3,54561,,
2005-03-11,432.4,447.3,428.3,445.8,64475,,
2005-03-23,445.7,445.7,423.85,424.4,54143,,
2005-04-04,425.1,429.0,422.2,423.9,35949,,
2005-04-14,424.4,430.0,421.65,423.5,47745,,
2005-04-26,423.3,443.2,422.0,436.8,51401,,
2005-05-06,436.9,437.08,422.6,425.7,50350,,-1.719814
2005-05-18,425.9,428.5,417.8,421.3,41635,,-1.945832
2005-05-30,421.1,423.1,415.9,417.9,30815,,-2.240534
2005-06-09,419.3,427.6,413.3,423.5,51991,,-2.138785
2005-06-21,423.7,441.08,421.75,438.5,55333,,-1.286739
2005-07-01,438.3,443.6,426.5,427.3,49943,,-1.184024
2005-07-13,428.8,428.82,421.2,423.6,46644,,-1.266654
2005-07-25,424.0,426.8,417.4,425.7,49609,,-1.199634
2005-08-04,425.5,439.2,421.5,437.3,49052,,-0.558205
2005-08-16,437.3,449.9,432.5,445.9,83906,,0.345948
2005-08-26,445.75,446.3,435.4,437.6,88603,,0.59712
2005-09-07,438.1,447.3,428.8,444.4,79672,,1.10343
2005-09-19,444.9,468.6,443.5,464.1,94365,,2.419768
2005-09-29,464.5,475.7,457.4,471.9,127928,,3.72257
2005-10-11,472.55,478.7,462.7,475.0,89325,,4.759481
2005-10-24,475.1,480.4,459.5,465.05,108207,,4.940848
2005-11-03,465.0,475.7,457.5,460.63,108136,,4.76066
2005-11-15,460.15,470.8,454.6,468.0,94041,,4.896097
2005-11-25,468.1,496.9,467.8,495.5,94871,,6.24772
2005-12-07,495.7,516.6,490.15,514.5,140453,,8.050429
2005-12-19,514.9,541.3,491.0,503.35,158263,,8.67153
2005-12-29,503.65,517.9,489.2,515.9,110282,,9.573388
2006-01-10,516.45,551.4,512.15,541.6,132544,,11.30861
2006-01-20,542.1,568.0,539.03,553.15,140997,,12.928947
2006-02-01,553.49,572.7,548.6,569.8,149761,,14.683039
2006-02-13,568.9,575.15,538.04,539.05,190868,,14.177557
2006-02-23,539.4,556.8,534.5,549.3,155452,,14.030338
2006-03-07,548.9,570.75,546.9,552.45,156030,,13.801397
2006-03-17,552.65,557.7,533.3,553.9,149442,,13.43352
2006-03-30,554.0,588.7,543.9,588.45,149671,,14.593248
2006-04-11,588.9,604.0,578.6,593.35,191445,,15.400042
2006-04-21,593.25,645.8,590.1,634.9,163663,33.260294,17.728077
2006-05-03,637.45,677.3,617.8,667.85,167471,38.030073,20.707454
2006-05-15,666.7,730.3,660.4,676.9,185284,41.527445,22.935771
2006-05-25,677.0,718.0,634.85,650.1,209475,40.350827,22.810793
2006-06-06,650.6,665.3,618.3,628.9,156763,35.589665,21.232411
2006-06-16,630.3,631.3,541.85,579.6,220468,28.253794,17.238848
2006-06-28,580.3,596.2,560.2,578.5,195233,22.624854,13.910466
2006-07-10,579.51,637.7,578.4,623.5,143017,21.652077,13.396255
2006-07-20,623.82,676.5,617.3,628.75,222959,19.933009,13.01284
2006-08-01,628.4,648.4,601.35,646.67,249701,19.018066,13.354194
2006-08-11,646.7,656.35,625.4,632.5,273738,17.441329,12.648735
2006-08-23,632.16,639.8,606.75,622.2,311993,14.509718,11.377099
2006-09-04,621.6,629.75,606.55,625.78,247585,10.771412,10.394483
2006-09-14,625.78,640.6,574.1,574.85,399702,3.042574,6.971588
2006-09-26,574.9,594.0,570.2,590.25,458259,-1.471726,5.072959
2006-10-06,591.4,607.2,558.1,572.85,826316,-5.23719,2.724496
2006-10-18,573.8,599.35,568.55,589.6,906418,-6.028525,1.765343
2006-10-30,590.05,610.9,572.3,604.15,676642,-5.853973,1.738703
2006-11-09,603.66,635.7,597.7,633.6,594023,-5.432431,3.128651
2006-11-21,633.55,636.6,610.25,628.0,454144,-7.032933,3.814815
2006-12-01,627.2,650.1,625.65,645.2,388725,-5.662512,5.087685
2006-12-13,645.35,648.8,622.58,628.8,676653,-6.946038,5.119938
2006-12-25,628.7,629.35,611.3,621.0,388179,-10.447443,4.66091
2007-01-04,621.0,645.15,620.54,621.04,308045,-13.621084,4.23396
2007-01-16,621.45,628.1,601.6,625.7,476297,-16.528217,4.065438
2007-01-29,625.0,648.8,619.9,642.3,344275,-14.291999,4.675536
2007-02-08,642.67,661.5,640.65,659.6,518204,-11.796622,5.8805
2007-02-20,660.6,673.35,655.3,658.4,217702,-10.115848,6.592375
2007-03-02,658.3,689.1,639.3,643.5,337021,-10.037869,6.256158
2007-03-14,642.25,658.3,632.15,643.7,374548,-12.575464,5.896074
2007-03-26,644.2,666.9,643.0,664.2,269228,-12.786108,6.520599
2007-04-06,663.4,675.8,654.43,673.85,250664,-15.261007,7.324993
2007-04-18,673.4,691.15,669.25,689.8,275864,-18.048912,8.554695
2007-04-30,689.35,693.9,670.3,677.95,306272,-21.313341,8.710266
2007-05-10,677.85,690.9,664.0,666.2,274732,-21.876742,8.077886
2007-05-22,665.7,675.0,653.25,658.9,283034,-20.614984,7.096668
2007-06-01,658.75,671.9,651.25,670.6,231321,-14.215743,6.809563
2007-06-13,671.1,674.0,642.75,651.45,284988,-10.850615,5.52621
2007-06-25,651.05,662.1,645.65,650.37,438174,-12.014745,4.42127
2007-07-05,651.1,658.9,638.65,650.0,262023,-13.016608,3.503986
2007-07-17,649.0,669.45,644.8,664.55,463887,-13.695061,3.474041
2007-07-27,664.3,687.85,656.45,660.0,475039,-13.059497,3.160866
2007-08-08,661.0,676.85,658.63,674.45,516973,-10.265346,3.576945
2007-08-20,674.85,676.5,641.0,657.8,471957,-9.717467,2.996573
2007-08-30,656.5,669.0,653.65,664.7,270181,-4.339612,2.849308
2007-09-11,664.9,714.3,664.25,712.6,313614,2.2351,5.033195
2007-09-21,712.2,739.5,703.05,730.75,428817,9.75113,7.430011
2007-10-03,730.8,747.8,721.8,727.5,419467,13.180066,8.887374
2007-10-15,727.5,760.25,720.2,759.1,433393,16.694489,11.333723
2007-10-25,759.0,771.5,744.95,768.85,561247,17.160094,13.38822
2007-11-06,769.0,824.65,767.95,821.8,558434,21.906755,17.231954
2007-11-16,822.55,845.8,782.4,785.3,667728,20.319532,17.931131
2007-11-28,786.4,836.85,772.47,804.6,581878,21.661033,19.03972
2007-12-10,805.45,812.4,776.65,809.1,618248,23.111245,19.702119
2007-12-20,808.9,817.15,784.6,796.55,482899,22.554307,19.187665
2008-01-01,795.5,843.5,795.17,833.3,236793,24.27319,20.234632
2008-01-11,833.3,898.15,832.85,895.8,656599,28.695385,23.671429
2008-01-23,895.8,914.4,849.1,887.92,699182,29.068102,25.348065
2008-02-05,888.8,936.95,884.05,887.75,608472,28.732065,26.075532
2008-02-18,887.8,927.3,885.55,905.6,631787,30.515872,26.974148
2008-02-28,905.9,972.55,903.7,972.3,642054,36.533481,30.375599
2008-03-11,971.95,993.05,956.0,972.2,681527,38.225122,32.276164
2008-03-21,973.25,1032.4,904.25,919.1,652829,33.35216,30.437831
2008-04-02,919.1,954.85,872.0,904.45,687505,26.607666,27.771158
2008-04-14,904.2,939.8,887.7,924.0,618455,23.806666,26.22417
2008-04-24,923.82,952.95,882.7,885.85,662801,19.095215,22.702381
2008-05-06,885.85,896.8,844.9,876.05,631056,15.114303,19.187294
2008-05-16,876.1,905.2,859.0,901.7,682012,13.097441,17.483802
2008-05-28,903.3,935.5,888.6,901.5,538932,12.926187,15.878611
2008-06-09,900.75,909.2,864.5,892.2,674533,11.824214,13.931096
2008-06-19,892.37,908.65,857.0,897.15,750304,11.206252,12.468588
2008-07-01,897.82,946.4,873.25,938.4,764994,12.705191,13.170791
2008-07-11,939.1,967.95,912.2,963.9,756858,15.939026,14.678866
2008-07-23,963.7,988.35,916.95,919.15,1027452,12.971402,13.306296
2008-08-04,920.45,935.2,893.4,894.22,922800,9.889518,10.814087
2008-08-14,879.9,886.55,801.65,805.0,764112,-0.43439,4.39601
2008-08-26,806.25,839.5,772.45,824.65,935301,-10.038103,0.553875
2008-09-05,824.45,844.2,788.95,801.1,925532,-20.015122,-3.436496
2008-09-17,802.8,868.5,735.9,865.57,1056243,-21.009839,-3.142917
2008-09-29,863.52,926.05,823.25,905.5,1275313,-20.531642,-0.90807
2008-10-09,906.95,924.7,817.65,912.22,1116928,-19.960524,1.082416
2008-10-21,912.8,931.5,764.5,771.2,1572406,-35.061722,-4.38796
2008-10-31,771.45,777.27,680.5,722.8,1925200,-45.87641,-10.696806
2008-11-12,723.05,769.4,709.65,711.4,1517946,-54.959097,-15.684746
2008-11-24,710.35,829.8,699.0,823.3,957077,-51.232545,-13.55951
2008-12-04,820.47,832.6,761.6,765.07,455466,-51.158448,-14.585376
2008-12-16,766.82,859.15,740.6,854.82,517368,-45.53771,-10.654191
2008-12-26,858.13,882.5,828.7,870.28,416416,-44.372538,-6.796866
2009-01-07,869.27,890.8,835.2,839.95,504602,-44.354827,-5.31409
2009-01-19,840.27,869.0,801.62,836.65,560483,-43.556446,-4.28138
2009-01-29,836.93,916.2,823.27,906.18,611630,-37.712026,-0.029753
2009-02-10,909.2,929.5,888.6,916.88,583009,-37.310976,3.621537
2009-02-20,916.75,1006.25,910.0,993.93,581187,-29.796447,10.012259
2009-03-04,997.3,998.2,899.45,905.2,644671,-26.725216,10.165491
2009-03-16,905.7,944.95,890.85,924.0,542873,-21.173754,11.000407
2009-03-26,922.74,967.0,882.9,933.45,563222,-17.588634,11.861856
2009-04-07,933.85,937.2,864.8,881.3,526054,-15.797051,9.706317
2009-04-17,880.64,900.0,864.1,867.75,364369,-14.469533,7.266826
2009-04-29,867.9,918.5,864.25,899.0,458059,-12.730826,6.862459
2009-05-11,897.55,925.5,879.55,912.8,415688,-10.051012,7.107043
2009-05-21,912.97,956.02,911.25,954.45,460165,-3.727003,9.189196
2009-06-02,953.17,988.7,940.6,981.72,426271,2.662816,11.876776
2009-06-12,981.37,989.95,935.95,939.3,491870,0.220151,11.540648
2009-06-24,937.9,943.15,912.7,932.1,455458,-4.202205,10.714267
2009-07-06,931.47,948.22,920.3,924.92,428359,-4.130992,9.544589
2009-07-16,924.7,942.1,904.1,937.12,440630,-0.925759,9.095422
2009-07-28,937.12,959.7,931.45,936.85,408721,8.683834,8.573575
2009-08-07,937.25,971.75,924.8,954.7,435521,15.114516,8.896755
2009-08-19,953.8,960.55,929.6,942.05,393752,20.195832,8.339843
2009-08-31,941.8,962.3,936.95,950.4,394272,18.685801,8.176137
2009-09-10,951.1,1007.7,945.8,996.82,482293,17.714701,10.170938
2009-09-22,996.4,1024.0,991.0,1014.7,495487,17.531461,12.314744
2009-10-02,1014.0,1019.3,984.2,1002.8,509823,27.623022,13.066273
