date,open,high,low,close,volume,mtm_hist,macd_hist
2008-03-31,3.4825,3.5698,3.4715,3.5281,4703,,
2008-04-30,3.518,3.6495,3.4018,3.4048,43871,,
2008-05-30,3.4213,3.4915,3.2073,3.216,56817,,
2008-06-30,3.22,3.4325,3.2102,3.3275,91475,,
2008-07-31,3.344,3.5173,3.1928,3.4835,160957,,
2008-08-29,3.493,3.6093,3.4451,3.5607,111791,,
2008-09-30,3.579,3.6446,3.362,3.4635,115625,,
2008-10-31,3.4575,3.9025,3.4337,3.7159,147718,,
2008-11-28,3.73,4.0415,3.7,3.93,131356,,
2008-12-31,3.93,4.021,3.6457,3.76,134504,,
2009-01-30,3.765,4.09,3.7415,4.0638,145377,,
2009-02-27,4.0664,4.2196,3.9892,4.1583,146222,,
2009-03-31,4.161,4.2691,3.9815,4.2111,149390,,
2009-04-30,4.2024,4.2731,4.0729,4.1635,139031,,
2009-05-29,4.1543,4.1892,3.8669,3.8988,176060,,
2009-06-30,3.8988,4.0289,3.855,3.9176,195336,,0.235116
2009-07-31,3.9179,4.15,3.754,3.7614,195118,,0.171924
2009-08-31,3.7614,3.96,3.729,3.7784,140046,,0.129175
2009-09-30,3.7779,3.8241,3.705,3.7592,141073,,0.094664
2009-10-30,3.7585,3.7891,3.6684,3.7483,130187,,0.0679
2009-11-30,3.7483,3.8378,3.7181,3.7783,268647,,0.053791
2009-12-31,3.7673,3.82,3.741,3.7755,190260,,0.04262
2010-01-29,3.7755,3.7915,3.6505,3.7234,126563,,0.025391
2010-02-26,3.7156,3.802,3.6806,3.7704,102614,,0.021577
2010-03-31,3.7745,3.8038,3.67,3.6908,79893,,0.005071
2010-04-30,3.6908,3.7541,3.66,3.725,86177,,0.000245
2010-05-31,3.7233,3.882,3.71,3.8691,132018,,0.021414
2010-06-30,3.8691,3.894,3.78,3.8815,112850,,0.036119
2010-07-30,3.8804,3.9204,3.7493,3.7669,149495,,0.024913
2010-08-31,3.779,3.8388,3.73,3.8066,183022,,0.023685
2010-09-30,3.811,3.811,3.6,3.6349,187579,,-0.006742
2010-10-29,3.6319,3.659,3.54,3.6285,219093,,-0.026768
2010-11-30,3.6306,3.6935,3.55,3.6757,199549,,-0.030556
2010-12-31,3.67,3.685,3.52,3.5352,92580,,-0.055531
2011-01-31,3.532,3.7433,3.5,3.713,106214,,-0.039522
2011-02-28,3.7055,3.73,3.58,3.6203,121098,,-0.043683
2011-03-31,3.6201,3.6485,3.45,3.4758,115476,,-0.069124
2011-04-29,3.4748,3.4809,3.35,3.3733,86739,,-0.100061
2011-05-31,3.3742,3.5489,3.35,3.4313,137887,,-0.106448
2011-06-30,3.4294,3.497,3.34,3.3903,172114,,-0.113786
2011-07-29,3.39,3.4867,3.3616,3.4148,133048,,-0.110468
2011-08-31,3.4188,3.631,3.39,3.557,170454,,-0.080765
2011-09-30,3.552,3.7597,3.5457,3.7399,144211,,-0.02859
2011-10-31,3.758,3.7702,3.5606,3.6212,115854,0.277915,-0.014696
2011-11-30,3.6142,3.8043,3.6059,3.7514,147364,0.239285,0.016438
