date,open,high,low,close,volume,mtm_hist,macd_hist
1990-11-30,129.05,133.9,128.02,133.1,0,,
1990-12-07,132.25,134.8,130.55,131.05,0,,
1990-12-14,130.6,133.3,130.13,132.95,0,,
1990-12-21,133.4,136.11,131.9,135.6,0,,
1990-12-28,135.5,137.1,134.77,135.12,0,,
1991-01-04,134.55,136.3,132.65,135.1,0,,
1991-01-11,135.95,137.5,133.0,134.25,0,,
1991-01-18,135.1,138.0,132.0,132.8,0,,
1991-01-25,132.4,133.2,131.01,132.27,0,,
1991-02-01,132.8,132.8,130.81,131.45,0,,
1991-02-08,131.13,131.7,127.6,127.9,0,,
1991-02-15,127.7,130.65,127.29,130.45,0,,
1991-02-22,130.45,132.5,129.81,132.2,0,,
1991-03-01,132.55,134.8,131.86,134.55,0,,
1991-03-08,134.8,136.95,134.55,136.25,0,,
1991-03-15,137.2,138.66,134.95,137.2,0,,1.243489
1991-03-22,137.7,139.67,136.0,137.2,0,,1.549551
1991-03-29,137.95,141.6,137.75,140.6,0,,2.26179
1991-04-05,140.75,141.0,135.5,136.9,0,,2.012805
1991-04-12,136.95,137.45,134.64,136.3,0,,1.687384
1991-04-19,135.95,138.68,134.04,138.58,0,,1.808761
1991-04-26,138.75,139.55,136.95,138.13,0,,1.74883
1991-05-03,138.9,139.2,136.1,138.55,0,,1.722863
1991-05-10,138.25,139.45,137.1,138.75,0,,1.682199
1991-05-17,139.25,139.63,136.85,138.5,0,,1.558009
1991-05-24,138.65,138.85,137.2,138.4,0,,1.410561
1991-05-31,138.5,138.5,137.15,138.45,0,,1.278622
1991-06-07,138.4,140.44,138.25,140.31,0,,1.465093
1991-06-14,140.4,142.05,140.35,140.55,0,,1.573706
1991-06-21,140.9,141.58,137.95,139.0,0,,1.328757
1991-06-28,139.45,139.82,137.45,137.9,0,,0.94484
1991-07-05,138.5,140.0,137.6,138.35,0,-0.314881,0.746746
1991-07-12,138.5,139.0,136.1,136.75,0,-0.387928,0.327889
1991-07-19,137.0,137.75,135.95,136.45,0,-0.524857,0.002462
1991-07-26,136.65,139.1,136.2,137.9,0,-0.588421,0.040975
1991-08-02,138.3,138.45,136.6,136.74,0,-0.621449,-0.131087
1991-08-09,137.2,137.4,135.3,136.9,0,-0.596851,-0.208232
1991-08-16,136.45,137.6,136.08,137.25,0,-0.575398,-0.19103
1991-08-23,137.3,139.0,136.4,137.1,0,-0.499301,-0.198978
1991-08-30,136.95,137.43,135.95,136.85,0,-0.430709,-0.239315
1991-09-06,136.88,136.93,134.95,136.15,0,-0.450339,-0.374341
1991-09-13,135.3,135.4,133.65,133.98,0,-0.500196,-0.811564
1991-09-20,133.63,134.99,133.42,134.37,0,-0.528596,-0.994299
1991-09-27,134.43,134.43,132.42,133.4,0,-0.596508,-1.239072
1991-10-04,133.05,133.48,129.5,130.03,0,-0.766753,-1.918077
1991-10-11,129.35,130.95,129.16,129.73,0,-0.902413,-2.331969
1991-10-18,128.95,130.95,128.85,129.77,0,-0.979233,-2.507717
1991-10-25,129.85,132.05,129.64,131.4,0,-0.893659,-2.26024
1991-11-01,131.92,132.57,129.65,130.3,0,-0.871057,-2.213166
1991-11-08,129.85,130.52,128.74,130.32,0,-0.808619,-2.105744
1991-11-15,130.02,130.3,129.34,130.05,0,-0.63576,-2.012639
1991-11-22,129.0,129.95,128.77,129.53,0,-0.496405,-1.973702
1991-11-29,129.23,131.67,127.58,130.08,0,-0.358734,-1.790382
1991-12-06,129.88,130.18,127.81,128.2,0,-0.372473,-1.930629
1991-12-13,128.3,129.68,127.95,128.8,0,-0.317752,-1.853285
1991-12-20,129.02,129.05,127.3,127.57,0,-0.316395,-1.948966
1991-12-27,127.35,127.77,125.34,125.57,0,-0.376748,-2.279893
1992-01-03,126.05,126.65,123.82,124.8,0,-0.43258,-2.541236
1992-01-10,124.05,127.45,122.87,127.05,0,-0.412009,-2.242378
1992-01-17,126.65,129.6,124.22,127.45,0,-0.307242,-1.911421
