date,open,high,low,close,volume,mtm_hist,macd_hist
2008-04-07,10.7027,10.7162,10.5115,10.5478,132333,,
2008-04-17,10.548,10.588,10.4337,10.4743,133082,,
2008-04-29,10.4623,10.5452,10.4185,10.5333,159422,,
2008-05-09,10.536,10.5861,10.4409,10.5671,131433,,
2008-05-21,10.5627,10.565,10.3489,10.37,160860,,
2008-06-02,10.3685,10.4145,10.285,10.338,130179,,
2008-06-12,10.336,10.448,10.2773,10.37,157407,,
2008-06-24,10.3665,10.388,10.2585,10.2895,153947,,
2008-07-04,10.2893,10.4231,10.2425,10.3273,157733,,
2008-07-16,10.3257,10.364,10.2243,10.2278,207904,,
2008-07-28,10.2263,10.2388,9.9944,10.0585,273987,,
2008-08-07,10.0515,10.0715,9.8464,10.0062,259685,,
2008-08-19,10.0103,10.227,9.989,10.134,302531,,
2008-08-29,10.1287,10.303,10.0756,10.2828,320393,,
2008-09-10,10.27,10.616,10.2505,10.6054,302294,,
2008-09-22,10.6105,10.9095,10.54,10.639,345186,,
2008-10-02,10.625,11.2075,10.594,11.1854,345336,,
2008-10-14,11.19,14.3,11.0531,12.3476,266459,,
2008-10-24,12.2735,14.289,12.2638,13.4375,381406,,
2008-11-05,13.4022,13.6184,12.4247,12.7026,482208,,
2008-11-17,12.745,13.325,12.6052,13.1335,333742,,-0.546563
2008-11-27,13.1473,14.1555,13.006,13.1679,226444,,-0.543311
2008-12-09,13.1934,13.84,13.1548,13.5947,222632,,-0.546304
2008-12-19,13.5787,13.7062,12.9495,13.0999,240530,,-0.529631
2008-12-31,13.0481,13.9136,12.9881,13.7095,160258,,-0.526893
2009-01-12,13.7116,13.8655,13.2653,13.7767,240395,,-0.520857
2009-01-22,13.7852,14.331,13.7014,14.0275,332541,,-0.517151
2009-02-03,14.0438,14.6372,13.8675,14.5508,330645,,-0.52264
2009-02-13,14.5608,14.7026,14.0552,14.4583,318065,,-0.518979
2009-02-25,14.4583,14.9805,14.4583,14.8613,276917,,-0.521268
2009-03-09,14.9235,15.5609,14.8476,15.5488,282092,,-0.535911
2009-03-19,15.5595,15.5639,13.7135,14.2153,330913,,-0.50627
2009-03-31,14.2313,14.5653,13.9471,14.1668,303302,0.255524,-0.475782
2009-04-10,14.1622,14.185,13.0392,13.125,278717,2.186243,-0.418382
2009-04-22,13.1289,13.435,12.9705,13.2012,331526,2.844394,-0.369903
2009-05-04,13.2096,14.1236,13.0391,13.2369,511368,1.843372,-0.328014
2009-05-14,13.215,13.388,12.945,13.19,518409,2.063264,-0.289651
2009-05-26,13.1885,13.2853,12.8125,13.162,466502,1.889479,-0.255032
2009-06-05,13.159,13.3888,12.976,13.2892,373659,1.945848,-0.227936
2009-06-17,13.2892,13.7027,13.2148,13.4224,346838,1.171421,-0.207325
2009-06-29,13.4104,13.4725,13.1165,13.1855,316570,1.793707,-0.182241
2009-07-09,13.1791,13.6261,13.0507,13.5568,276706,1.324095,-0.170098
2009-07-21,13.5446,13.842,13.18,13.3083,316546,1.620796,-0.151894
2009-07-31,13.3137,13.325,13.1188,13.197,290747,2.004796,-0.132692
2009-08-12,13.2,13.2147,12.8585,12.9633,261685,1.907552,-0.109621
2009-08-24,12.9503,13.0695,12.7564,12.9199,316460,2.092402,-0.088783
2009-09-03,12.9254,13.7885,12.835,13.5235,353053,1.934491,-0.087257
2009-09-15,13.5295,13.57,13.2345,13.2782,257523,0.752258,-0.07854
2009-09-25,13.285,13.608,13.1307,13.5605,328946,0.37463,-0.078257
2009-10-07,13.5739,13.8085,13.3545,13.3714,336636,-0.424951,-0.072136
2009-10-19,13.3603,13.3796,12.9617,12.9705,332825,0.046354,-0.055736
2009-10-29,12.9373,13.3642,12.7877,13.0633,375409,-0.009552,-0.044466
2009-11-10,13.0595,13.4385,12.965,13.2258,409255,-0.194624,-0.039295
2009-11-20,13.2185,13.2625,12.9364,13.0765,416360,-0.065177,-0.030735
2009-12-02,13.0499,13.1017,12.7192,12.7428,370284,0.351754,-0.014618
2009-12-14,12.7156,13.0225,12.476,12.7583,414204,0.417293,-0.001947
2009-12-24,12.744,12.9925,12.6404,12.8729,304810,0.058482,0.005173
2010-01-05,12.8729,13.1398,12.764,12.8167,199424,0.431984,0.012331
2010-01-15,12.809,12.8422,12.5605,12.6888,340654,0.276786,0.021361
2010-01-27,12.715,13.0117,12.6092,12.9626,346050,-0.096279,0.021056
2010-02-08,12.9662,13.25,12.8238,13.2089,367010,-0.512248,0.013999
2010-02-18,13.2158,13.2288,12.7966,12.8099,366403,-0.139243,0.018858
2010-03-02,12.8172,12.9324,12.682,12.7391,269101,0.475695,0.024447
2010-03-12,12.7322,12.7435,12.5146,12.5449,233124,0.377418,0.033861
2010-03-24,12.5212,12.6933,12.4171,12.5791,241445,0.556016,0.040136
2010-04-05,12.5798,12.5868,12.2375,12.2519,196081,0.616992,0.053488
2010-04-15,12.2445,12.3358,12.132,12.156,279918,0.277326,0.066191
2010-04-27,12.1633,12.3897,12.1202,12.3733,333094,0.135846,0.069862
2010-05-07,12.3742,13.3049,12.16,12.8299,417248,-0.140671,0.059851
2010-05-19,12.7311,12.9784,12.308,12.8511,455947,-0.276596,0.050614
2010-05-31,12.8257,13.3835,12.7515,12.9099,502364,-0.594752,0.041091
2010-06-10,12.9066,13.0437,12.676,12.6877,572408,-0.31738,0.038954
2010-06-22,12.6801,12.741,12.4064,12.5979,502426,-0.100426,0.039225
2010-07-02,12.6005,13.1355,12.5573,13.0814,572476,-0.569001,0.026094
2010-07-14,13.0352,13.1706,12.6515,12.6958,433883,-0.276712,0.025593
2010-07-26,12.701,12.961,12.641,12.6728,531453,0.017856,0.025532
2010-08-05,12.6695,12.764,12.4667,12.5718,500529,0.324583,0.02791
2010-08-17,12.5612,12.8179,12.516,12.5971,478176,-0.088637,0.028843
2010-08-27,12.5924,13.136,12.5395,13.02,500553,-0.517633,0.017976
2010-09-08,13.0014,13.2604,12.8912,13.0482,465436,-0.657807,0.008312
2010-09-20,13.0412,13.0626,12.7328,12.7655,476112,-0.303029,0.00803
2010-09-30,12.7613,12.8112,12.4247,12.5931,528053,-0.406959,0.012328
2010-10-12,12.59,12.6252,12.341,12.394,505540,-0.270008,0.020967
2010-10-22,12.4025,12.5567,12.3135,12.3392,562108,0.00186,0.029138
2010-11-03,12.332,12.5044,12.232,12.243,504961,0.493031,0.037953
2010-11-15,12.244,12.3664,12.1344,12.2744,508900,0.429183,0.043778
2010-11-25,12.2913,12.4909,12.2093,12.3912,462604,0.32994,0.044859
2010-12-07,12.3817,12.5956,12.2937,12.4707,509371,0.025103,0.043121
2010-12-17,12.4941,12.5331,12.3323,12.4057,465478,0.000269,0.043004
2010-12-29,12.4171,12.4388,12.2773,12.3672,317763,0.464239,0.043479
2011-01-10,12.373,12.4027,12.1565,12.2221,369572,0.198879,0.047275
2011-01-20,12.2144,12.2282,11.9339,12.0613,440849,0.29927,0.054114
2011-02-01,12.0661,12.2356,11.967,11.9807,393988,0.247885,0.061176
2011-02-11,11.9953,12.1437,11.9461,12.03,376479,0.199009,0.064868
2011-02-23,12.0137,12.236,11.9876,12.1708,344356,0.427652,0.063371
2011-03-07,12.1754,12.2399,11.9593,12.0405,377649,0.521024,0.064977
2011-03-17,12.0465,12.2288,11.8717,12.097,416129,0.161621,0.064059
2011-03-29,12.0819,12.095,11.9124,11.9567,327293,0.11513,0.066389
2011-04-08,11.9441,11.9554,11.7002,11.7309,279887,0.126071,0.073585
