date,open,high,low,close,volume,mtm_hist,macd_hist
1990-11-30,0.6115,0.6135,0.6083,0.6089,0,,
1990-12-31,0.611,0.612,0.58,0.5876,0,,
1991-01-31,0.589,0.6015,0.589,0.5988,0,,
1991-02-28,0.5985,0.6095,0.5872,0.5994,0,,
1991-03-29,0.5994,0.6036,0.578,0.588,0,,
1991-04-30,0.5885,0.5963,0.5827,0.5897,0,,
1991-05-31,0.5893,0.5916,0.5787,0.5821,0,,
1991-06-28,0.5815,0.5859,0.5701,0.577,0,,
1991-07-31,0.5755,0.5758,0.5583,0.5712,0,,
1991-08-30,0.5712,0.5785,0.5676,0.574,0,,
1991-09-30,0.5735,0.5898,0.5615,0.567,0,,
1991-10-31,0.5675,0.5716,0.551,0.5575,0,,
1991-11-29,0.5602,0.57,0.5567,0.5614,0,,
1991-12-31,0.5613,0.5647,0.5395,0.5403,0,,
1992-01-31,0.5385,0.5535,0.5365,0.5395,0,,
1992-02-28,0.541,0.5478,0.5385,0.5463,0,,
1992-03-31,0.5465,0.5515,0.5452,0.546,0,,
1992-04-30,0.5467,0.5488,0.5317,0.5373,0,,
1992-05-29,0.5385,0.5405,0.5312,0.5363,0,,
1992-06-30,0.5356,0.5479,0.5348,0.5453,0,,
1992-07-31,0.5438,0.5505,0.5416,0.5449,0,,
1992-08-31,0.5445,0.546,0.5326,0.5393,0,,
1992-09-30,0.5394,0.5545,0.535,0.5355,0,,
1992-10-30,0.541,0.547,0.5248,0.5249,0,,
1992-11-30,0.5244,0.5308,0.5106,0.5121,0,,
1992-12-31,0.5121,0.5206,0.5117,0.5153,0,,-0.033341
1993-01-29,0.5143,0.5195,0.5028,0.5172,0,,-0.032593
1993-02-26,0.517,0.5265,0.51,0.5246,0,,-0.029843
1993-03-31,0.5265,0.5386,0.5258,0.533,0,,-0.025614
1993-04-30,0.53,0.549,0.5285,0.5421,0,,-0.02035
1993-05-31,0.541,0.5487,0.5357,0.5419,0,,-0.016479
1993-06-30,0.5394,0.546,0.532,0.5369,0,,-0.014629
1993-07-30,0.5371,0.5555,0.5349,0.5539,0,,-0.009498
1993-08-31,0.5539,0.5589,0.5451,0.5545,0,,-0.005776
1993-09-30,0.5548,0.5567,0.5425,0.5507,0,,-0.003997
1993-10-29,0.5504,0.5594,0.546,0.5554,0,,-0.001741
1993-11-30,0.5536,0.562,0.5364,0.547,0,0.021435,-0.001989
1993-12-31,0.5466,0.566,0.5465,0.559,0,0.021402,0.000428
1994-01-31,0.5598,0.5719,0.5542,0.5687,0,0.020106,0.004071
1994-02-28,0.5711,0.5822,0.5679,0.5764,0,0.019859,0.008023
1994-03-31,0.5761,0.5788,0.5561,0.563,0,0.018105,0.007631
1994-04-29,0.564,0.578,0.5612,0.5774,0,0.017898,0.010259
1994-05-31,0.5782,0.5953,0.5734,0.5934,0,0.020873,0.015165
