date,open,high,low,close,volume,mtm_hist,macd_hist
2004-11-12,211.5,213.0,204.5,210.5,579,,
2004-11-17,216.5,219.0,212.0,215.0,340,,
2004-11-22,215.0,220.51,209.0,212.0,284,,
2004-11-25,214.5,214.5,208.5,210.0,270,,
2004-11-30,214.0,214.0,205.0,205.0,447,,
2004-12-03,208.0,210.0,198.5,199.5,727,,
2004-12-08,201.5,207.5,196.0,196.0,417,,
2004-12-13,205.0,205.0,185.0,187.5,604,,
2004-12-16,192.0,192.0,173.0,173.5,759,,
2004-12-21,173.5,184.0,171.5,177.5,854,,
2004-12-24,181.0,185.0,176.0,177.5,495,,
2004-12-29,177.5,186.0,176.5,179.0,692,,
2005-01-03,185.0,185.0,177.0,177.5,1005,,
2005-01-06,176.0,182.0,174.5,176.5,1986,,
2005-01-11,177.0,191.0,176.0,187.5,828,,
2005-01-14,189.0,191.0,178.0,179.5,1515,,-4.545946
2005-01-19,185.0,189.5,177.0,183.0,1759,,-4.204955
2005-01-24,183.0,190.0,178.5,186.5,2120,,-3.700207
2005-01-27,188.0,191.0,183.0,185.5,1937,,-3.305536
2005-02-01,185.5,190.0,183.0,187.0,2164,,-2.876993
2005-02-04,186.0,191.5,177.0,179.5,1848,,-2.873123
2005-02-09,179.0,186.0,174.0,176.0,1515,,-2.98551
2005-02-14,177.0,186.0,175.0,182.5,1797,,-2.690981
2005-02-17,181.0,186.0,175.0,178.0,2394,,-2.64224
2005-02-22,179.0,182.0,175.0,179.0,1388,,-2.505572
2005-02-25,178.0,185.0,178.0,179.5,2310,,-2.331442
2005-03-02,182.0,187.0,177.0,184.5,2519,,-1.912593
2005-03-07,185.0,212.5,180.0,202.0,2206,,-0.709271
2005-03-10,200.0,224.0,195.0,198.0,2175,,-0.006646
2005-03-15,196.0,204.0,190.0,199.5,2788,,0.583649
2005-03-18,198.0,206.0,195.5,197.5,2008,,0.908206
2005-03-23,200.0,200.0,188.0,191.5,2732,,0.834926
2005-03-28,196.0,200.0,188.0,189.0,1178,,0.642123
2005-03-31,192.0,200.0,189.0,198.5,1984,,0.953452
2005-04-05,194.0,201.0,193.0,195.5,2122,,1.016616
2005-04-08,195.5,199.0,191.5,192.0,2642,,0.871559
2005-04-13,198.0,198.0,191.5,193.5,2022,,0.821338
2005-04-18,196.0,198.0,192.5,196.5,2314,,0.915366
2005-04-21,196.5,203.0,191.5,196.5,2470,,0.966555
2005-04-26,198.0,201.0,191.5,197.5,2318,,1.034262
2005-04-29,199.0,201.0,191.0,196.5,2913,,1.014748
2005-05-04,197.0,197.0,188.0,190.5,2775,2.123092,0.686384
2005-05-09,191.0,194.0,188.0,190.0,2696,2.142605,0.406972
2005-05-12,191.0,195.0,188.0,189.0,2535,1.985214,0.144522
2005-05-17,190.0,192.0,182.0,191.5,2761,1.979392,0.071259
2005-05-20,187.0,192.0,183.0,185.0,2875,1.803178,-0.302635
2005-05-25,188.0,199.0,181.0,182.5,2547,1.581962,-0.694172
2005-05-30,183.5,199.0,178.0,182.5,1824,1.286213,-0.968456
2005-06-02,183.0,199.0,178.0,180.0,3259,0.630191,-1.273694
2005-06-07,181.5,199.0,180.0,187.0,3076,0.315929,-1.130023
