date,open,high,low,close,volume,mtm_hist,macd_hist
2004-11-19,845.0,879.0,838.0,856.0,383,,
2004-12-01,858.0,874.0,844.0,871.0,516,,
2004-12-13,864.0,882.0,807.0,828.0,728,,
2004-12-23,832.0,847.0,828.0,840.0,367,,
2005-01-04,838.0,871.0,838.0,840.0,237,,
2005-01-14,852.0,864.0,836.0,851.0,445,,
2005-01-26,855.0,877.0,850.0,865.0,707,,
2005-02-07,867.0,882.0,859.0,862.0,658,,
2005-02-17,867.0,876.0,842.0,858.0,829,,
2005-03-01,857.0,874.0,854.0,861.0,767,,
2005-03-11,865.0,904.0,811.0,866.0,1139,,
2005-03-23,870.0,885.0,851.0,854.0,1113,,
2005-04-04,853.5,866.0,849.0,854.0,606,,
2005-04-14,856.0,865.0,852.0,860.0,776,,
2005-04-26,865.0,880.0,853.0,876.0,3299,,
2005-05-06,878.0,878.0,860.0,868.0,725,,
2005-05-18,869.0,881.0,845.0,856.0,1408,,
2005-05-30,857.0,867.0,853.0,861.5,787,,
2005-06-09,862.0,878.0,856.0,868.0,936,,
2005-06-21,870.0,898.0,865.0,879.0,1927,,
2005-07-01,878.0,896.0,866.0,868.0,3823,,8.833333
2005-07-13,866.0,878.0,854.0,870.0,4355,,9.848485
2005-07-25,871.0,888.0,859.0,885.0,2619,,22.589532
2005-08-04,885.0,916.0,875.0,905.0,2650,,38.717756
2005-08-16,908.0,922.0,862.0,889.0,2898,,20.652506
2005-08-26,889.0,897.0,875.0,891.0,2870,,20.593187
2005-09-07,892.0,909.0,884.0,903.0,2546,2.152325,29.63017
2005-09-19,903.0,923.0,900.0,922.5,2369,3.084083,44.663791
2005-09-29,922.5,933.0,903.5,924.0,2433,3.636101,41.967083
2005-10-11,924.0,940.0,909.0,937.0,2166,4.156348,49.970075
2005-10-24,937.0,944.0,916.5,925.0,2200,3.900125,34.51825
2005-11-03,925.0,947.0,913.0,934.0,1602,4.144997,39.562045
2005-11-15,933.5,972.5,923.5,967.0,2492,5.042042,65.965496
2005-11-25,967.0,992.0,961.5,985.0,2069,5.71137,76.332269
2005-12-07,986.0,997.0,971.5,991.0,2759,5.768654,74.847517
2005-12-19,991.0,1015.0,938.5,972.0,2689,5.639396,50.77047
2005-12-29,972.0,977.0,945.0,963.0,2669,5.169547,37.973155
2006-01-10,963.0,1020.0,961.5,1009.0,2510,5.584458,76.339232
2006-01-20,1009.0,1049.0,1005.5,1032.0,1345,5.892636,90.308392
2006-02-01,1032.0,1079.0,1031.0,1067.0,2421,6.871213,113.91672
2006-02-13,1067.0,1083.0,1011.0,1011.0,2495,5.756335,52.651564
2006-02-23,1011.0,1029.0,988.0,1016.0,2586,5.244977,52.410513
2006-03-07,1016.0,1063.0,1012.0,1036.0,2568,5.047395,65.827739
2006-03-17,1036.0,1036.0,996.0,1030.0,2453,3.82994,54.388853
2006-03-30,1030.0,1088.0,1029.0,1088.0,1635,3.85321,102.171685
2006-04-11,1088.0,1093.0,1050.0,1084.0,1564,3.553949,89.246986
2006-04-21,1084.0,1131.0,1065.0,1125.0,1046,4.780492,118.406351
2006-05-03,1128.0,1185.0,1100.0,1174.5,6481,7.102575,152.642137
2006-05-15,1174.5,1337.5,1165.0,1271.0,12725,10.01251,226.492852
2006-05-25,1271.0,1337.0,1262.0,1289.0,9621,11.918973,222.266229
2006-06-06,1289.0,1297.0,1206.0,1232.0,7874,10.84119,150.242027
2006-06-16,1231.0,1241.0,1090.0,1148.0,8964,9.137973,60.220024
2006-06-28,1148.0,1198.0,1126.0,1184.0,8678,8.477758,87.472749
2006-07-10,1184.0,1243.0,1178.0,1219.0,6767,8.214104,111.338863
2006-07-20,1219.0,1262.0,1203.5,1222.0,9189,8.103541,103.944421
2006-08-01,1222.0,1244.0,1184.0,1243.0,8128,6.950954,113.585837
2006-08-11,1243.0,1253.0,1227.0,1239.5,6782,5.975032,100.078034
2006-08-23,1239.5,1242.5,1207.0,1224.5,8125,3.724755,77.343667
2006-09-04,1224.5,1248.0,1211.5,1246.5,8084,1.266986,90.312425
2006-09-14,1246.5,1270.0,1169.5,1169.5,9958,-4.987074,12.102204
2006-09-26,1169.5,1169.5,1120.5,1127.5,9641,-11.145825,-27.179814
2006-10-06,1127.5,1156.0,1063.2,1072.5,17429,-15.565958,-74.708922
2006-10-18,1075.5,1096.0,1059.5,1084.5,21659,-16.227135,-57.008111
2006-10-30,1084.5,1092.0,892.0,1088.5,16500,-17.261183,-48.189192
2006-11-09,1088.5,1218.0,1066.0,1202.0,17380,-15.77414,59.373462
2006-11-21,1202.0,1413.0,1135.0,1230.0,12580,-13.754122,79.43042
2006-12-01,1230.0,1230.0,1138.0,1155.5,10013,-14.402779,4.4822
2006-12-13,1155.5,1169.5,1091.5,1104.5,15300,-15.848775,-42.288909
2006-12-25,1104.5,1127.5,1092.5,1118.5,10665,-15.944928,-25.71719
2007-01-04,1118.5,1139.0,1106.0,1116.5,8912,-16.354708,-25.197446
2007-01-16,1118.0,1151.5,1101.5,1135.5,14603,-13.969588,-5.634041
2007-01-29,1135.5,1178.0,1127.5,1160.5,10444,-10.241858,17.605417
2007-02-08,1161.5,1199.0,1148.0,1184.5,18291,-5.258837,37.823106
2007-02-20,1189.0,1217.5,1180.5,1207.0,8564,-1.137077,54.839188
2007-03-02,1208.0,1259.0,1192.5,1202.0,10746,1.772441,45.308352
2007-03-14,1202.0,1218.0,1156.5,1201.5,10635,1.069178,40.734866
2007-03-26,1202.5,1238.0,1197.5,1234.0,10195,0.632775,66.577151
2007-04-06,1234.0,1250.0,1227.5,1249.5,10277,2.560994,74.615591
2007-04-18,1249.5,1294.0,1244.5,1293.5,10878,6.371228,107.832356
2007-04-30,1291.5,1336.5,1267.0,1283.5,12374,8.540796,88.938505
2007-05-10,1283.5,1341.0,1279.5,1307.0,11380,10.680959,102.216823
2007-05-22,1307.0,1334.5,1279.0,1281.5,14270,10.99821,69.742566
2007-06-01,1282.5,1300.0,1249.5,1287.5,13014,10.574312,68.856879
2007-06-13,1289.0,1313.0,1265.0,1280.5,11884,9.294485,56.233526
2007-06-25,1281.5,1306.0,1263.5,1278.5,18737,7.552691,49.303205
2007-07-05,1280.0,1291.5,1257.0,1288.5,12478,6.486584,53.912005
2007-07-17,1288.5,1316.0,1279.0,1306.5,15755,6.037652,65.37455
2007-07-27,1308.5,1334.5,1266.5,1268.5,17493,3.81934,24.885954
2007-08-08,1276.0,1300.0,1261.5,1283.5,17761,2.06483,36.259959
2007-08-20,1284.5,1284.5,1216.7,1244.0,11761,-1.401856,-2.945492
2007-08-30,1244.0,1270.0,1227.5,1257.0,8286,-3.420327,9.140462
2007-09-11,1256.0,1302.0,1256.0,1299.0,7104,-4.42303,46.491329
2007-09-21,1299.5,1339.5,1275.0,1325.3,10138,-3.801158,66.173935
2007-10-03,1327.0,1392.5,1321.0,1356.0,11583,-2.644261,88.067214
2007-10-15,1354.5,1428.5,1337.5,1422.5,10789,0.128086,140.515649
2007-10-25,1422.0,1455.5,1399.0,1445.5,7824,2.852918,148.65059
2007-11-06,1445.5,1477.0,1425.0,1471.0,7979,5.256524,158.318718
2007-11-16,1473.5,1486.5,1378.5,1443.5,11648,5.838973,118.926107
2007-11-28,1443.5,1486.0,1414.5,1438.0,12695,7.000675,103.114643
2007-12-10,1437.0,1474.5,1432.0,1461.0,12229,7.963295,114.649676
2007-12-20,1459.0,1521.0,1454.5,1509.5,10152,10.775977,148.317887
2008-01-01,1510.5,1541.0,1505.5,1517.5,5267,12.596057,142.10717
2008-01-11,1523.0,1565.0,1517.0,1563.0,7945,13.849125,170.551973
2008-01-23,1562.0,1590.0,1505.0,1549.0,7272,13.548098,142.319975
2008-02-05,1551.0,1810.0,1551.0,1767.5,8411,17.827186,328.018159
2008-02-18,1767.5,2115.5,1763.0,2108.5,11427,27.684022,608.198327
2008-02-28,2108.5,2197.0,2056.5,2137.0,11792,34.81215,578.81666
2008-03-11,2135.0,2290.0,1922.5,2046.5,9276,36.693723,443.924237
2008-03-21,2045.0,2120.0,1802.0,1852.5,7707,33.302581,227.203852
2008-04-02,1852.5,2043.0,1845.0,1956.0,8919,32.926044,300.639865
2008-04-14,1949.5,2036.5,1936.0,1960.5,11450,31.621503,277.399877
2008-04-24,1960.5,2075.5,1945.0,1955.0,11976,28.742076,247.181707
2008-05-06,1950.0,1973.0,1821.5,1951.5,11571,25.791383,221.528824
2008-05-16,1947.5,2141.0,1918.5,2116.0,14460,26.126297,350.935295
2008-05-28,2116.0,2221.0,2021.5,2064.0,13003,24.982513,271.759359
2008-06-09,2064.0,2087.0,1948.0,2036.5,15228,17.495912,222.053963
2008-06-19,2039.5,2108.0,1973.5,2038.0,14473,2.980904,203.230875
2008-07-01,2037.0,2083.0,1995.0,2074.0,12183,-7.857857,217.482614
2008-07-11,2074.0,2085.5,1924.0,2023.0,13902,-14.927376,151.347831
2008-07-23,2023.0,2041.0,1729.0,1742.0,18478,-22.216468,-117.865608
2008-08-04,1742.0,1775.5,1547.5,1552.0,18900,-34.755,-279.877826
2008-08-14,1555.5,1633.0,1462.0,1481.0,16850,-45.557168,-318.979842
2008-08-26,1481.0,1501.0,1296.5,1409.0,18022,-54.637678,-355.43622
2008-09-05,1410.0,1493.0,1318.5,1361.0,17014,-61.708859,-366.7602
2008-09-17,1361.0,1387.0,1039.0,1115.5,17310,-76.355822,-556.600182
2008-09-29,1118.0,1260.5,1042.0,1080.0,13716,-85.7341,-538.272892
2008-10-09,1080.0,1080.0,921.5,1016.5,11075,-92.293568,-547.066266
2008-10-21,1018.5,1042.5,830.5,883.5,21149,-99.094115,-618.24206
2008-10-31,885.5,900.5,732.5,814.5,22860,-105.218997,-624.765509
2008-11-12,813.0,884.5,784.5,806.0,23128,-107.011446,-575.695917
