date,open,high,low,close,volume,mtm_hist,macd_hist
2004-11-16,7.48,7.615,7.32,7.52,5069,,
2004-11-23,7.52,7.802,7.47,7.51,4717,,
2004-11-30,7.52,7.795,7.51,7.7,4657,,
2004-12-07,7.7,8.155,7.67,7.82,8467,,
2004-12-14,7.78,7.82,6.548,6.67,7856,,
2004-12-21,6.67,6.91,6.609,6.86,12665,,
2004-12-28,6.86,7.037,6.76,7.0,8654,,
2005-01-04,7.0,7.01,6.22,6.41,13583,,
2005-01-11,6.4,6.633,6.323,6.59,13018,,
2005-01-18,6.61,6.84,6.43,6.62,12010,,
2005-01-25,6.61,6.865,6.44,6.67,15725,,
2005-02-01,6.68,6.85,6.55,6.7,14725,,
2005-02-08,6.7,6.793,6.42,6.53,11997,,
2005-02-15,6.51,7.383,6.44,7.33,20527,,
2005-02-22,7.31,7.727,7.06,7.49,13523,,
2005-03-01,7.53,7.53,7.12,7.2,18171,,
2005-03-08,7.2,7.653,6.99,7.48,15382,,
2005-03-15,7.49,7.622,7.25,7.36,19049,,
2005-03-22,7.37,7.45,6.89,6.92,15123,,
2005-03-29,6.85,7.04,6.8,6.96,9595,,
2005-04-05,6.97,7.193,6.88,7.03,14930,,0.013705
2005-04-12,7.02,7.273,6.95,7.14,13408,,0.024353
2005-04-19,7.15,7.242,6.63,7.23,15560,,0.048167
2005-04-26,7.21,7.338,7.04,7.22,14171,,0.060432
2005-05-03,7.22,7.3,6.74,6.88,16742,,0.000593
2005-05-10,6.87,7.145,6.82,7.08,13339,,0.000682
2005-05-17,7.08,7.1,6.79,7.01,12842,,-0.012914
2005-05-24,7.01,7.21,6.86,6.98,13095,0.525882,-0.027252
2005-05-31,6.98,7.452,6.94,7.38,10778,0.005229,0.042068
2005-06-07,7.37,7.64,7.3,7.41,18564,-0.41313,0.091832
2005-06-14,7.41,7.483,7.11,7.24,13280,-0.18056,0.088645
2005-06-21,7.24,7.44,7.13,7.27,12036,-0.124942,0.090117
2005-06-28,7.28,7.3,7.05,7.05,11555,0.182274,0.045874
2005-07-05,7.07,7.25,6.8,6.86,12203,0.41091,-0.021059
2005-07-12,6.87,7.135,6.82,7.04,11753,0.196364,-0.02891
2005-07-19,7.05,7.11,6.86,6.94,12092,-0.038787,-0.052738
2005-07-26,6.94,7.18,6.93,6.99,11630,0.098856,-0.0571
2005-08-02,6.98,7.29,6.86,7.22,13290,-0.178795,-0.013645
2005-08-09,7.21,7.291,6.86,7.02,12441,-0.007818,-0.024033
2005-08-16,7.02,7.235,6.9,7.01,15610,0.357495,-0.032103
2005-08-23,7.01,7.09,6.86,6.94,12263,0.406663,-0.050146
2005-08-30,6.96,7.0,6.63,6.75,12365,0.379256,-0.097572
2005-09-06,6.75,7.07,6.68,7.03,13198,0.114894,-0.071289
2005-09-13,6.99,7.11,6.847,6.95,18476,-0.022317,-0.067955
2005-09-20,6.94,7.45,6.917,7.3,17458,-0.499837,0.004158
