date,open,high,low,close,volume,mtm_hist,macd_hist
1990-12-03,25.15,25.25,25.04,25.2,0,,
1990-12-10,25.25,25.34,25.17,25.21,0,,
1990-12-17,25.33,25.33,25.09,25.14,0,,
1990-12-24,25.2,25.27,25.16,25.27,0,,
1991-01-02,25.28,25.38,25.18,25.18,0,,
1991-01-09,25.18,25.4,25.18,25.32,0,,
1991-01-16,25.39,25.43,25.31,25.31,0,,
1991-01-23,25.4,25.4,25.18,25.18,0,,
1991-01-30,25.4,25.4,25.17,25.17,0,,
1991-02-06,25.4,25.4,25.12,25.12,0,,
1991-02-13,25.2,25.4,25.03,25.03,0,,
1991-02-20,25.4,25.45,25.07,25.14,0,,
1991-02-27,25.45,25.6,25.17,25.24,0,,
1991-03-06,25.6,25.68,25.23,25.34,0,,
1991-03-13,25.4,25.46,25.25,25.46,0,,
1991-03-20,25.25,25.57,25.25,25.53,0,,
1991-03-27,25.4,25.63,25.4,25.58,0,,
1991-04-04,25.55,25.65,25.55,25.56,0,,
1991-04-11,25.65,25.65,25.35,25.48,0,,
1991-04-18,25.35,25.53,25.35,25.48,0,,
1991-04-25,25.4,25.66,25.4,25.66,0,,
1991-05-02,25.6,25.71,25.4,25.6,0,,
1991-05-09,25.6,25.68,25.6,25.65,0,,
1991-05-16,25.6,25.68,25.6,25.62,0,,
1991-05-23,25.6,25.7,25.45,25.63,0,,
1991-05-30,25.55,25.65,25.55,25.62,0,,0.232021
1991-06-06,25.65,25.71,25.62,25.71,0,,0.236873
1991-06-13,25.63,25.79,25.63,25.79,0,,0.252
1991-06-20,25.775,25.9,25.7,25.82,0,,0.263021
1991-06-27,25.725,25.79,25.6,25.75,0,,0.249928
1991-07-04,25.635,25.77,25.6,25.65,0,,0.214815
1991-07-11,25.65,25.79,25.65,25.77,0,-0.015667,0.212443
1991-07-18,25.75,25.81,25.7,25.74,0,-0.015127,0.200029
1991-07-25,25.7,25.74,25.68,25.72,0,-0.008191,0.183352
1991-08-01,25.725,25.76,25.7,25.74,0,-0.00268,0.172675
1991-08-08,25.74,25.74,25.67,25.67,0,-0.000752,0.147144
1991-08-15,25.74,25.74,25.64,25.7,0,0.005951,0.133493
1991-08-22,25.7,25.85,25.65,25.79,0,0.007624,0.140687
1991-08-30,25.75,25.75,25.7,25.73,0,7.6e-05,0.12977
1991-09-06,25.72,25.74,25.66,25.68,0,-0.010669,0.10922
1991-09-13,25.69,25.7,25.6,25.6,0,-0.024293,0.076387
1991-09-20,25.63,25.63,25.57,25.6,0,-0.0318,0.053055
1991-09-27,25.6,25.62,25.55,25.57,0,-0.036156,0.030152
1991-10-04,25.57,25.57,25.35,25.56,0,-0.034311,0.012249
1991-10-11,25.5,25.6,25.45,25.45,0,-0.031593,-0.02313
1991-10-18,25.52,25.54,25.4,25.53,0,-0.02348,-0.029109
1991-10-25,25.4,25.59,25.4,25.59,0,-0.023095,-0.019748
1991-11-01,25.45,25.64,25.44,25.59,0,-0.017855,-0.01314
1991-11-08,25.58,25.58,25.45,25.51,0,-0.01985,-0.025422
1991-11-15,25.45,25.53,25.45,25.5,0,-0.017957,-0.035124
1991-11-22,25.45,25.5,25.45,25.48,0,-0.016774,-0.045029
1991-11-29,25.48,25.48,25.37,25.37,0,-0.019375,-0.073908
1991-12-06,25.37,25.5,25.37,25.37,0,-0.023054,-0.091444
1991-12-13,25.37,25.42,25.37,25.42,0,-0.024039,-0.090524
1991-12-23,25.37,25.43,25.37,25.37,0,-0.026028,-0.098582
1992-01-02,25.37,25.37,25.37,25.37,0,-0.021163,-0.101825
1992-01-09,25.37,25.37,25.2,25.2,0,-0.020164,-0.137794
1992-01-16,25.335,25.44,25.22,25.38,0,-0.014911,-0.120571
1992-01-23,25.335,25.45,25.16,25.34,0,-0.011466,-0.115094
1992-01-30,25.33,25.39,25.2,25.38,0,-0.005876,-0.10057
1992-02-06,25.36,25.4,25.215,25.25,0,-0.009797,-0.116349
1992-02-13,25.32,25.42,25.218,25.4,0,-0.000255,-0.092577
1992-02-20,25.42,25.48,25.2,25.48,0,0.006694,-0.057964
1992-02-27,25.5,25.57,25.5,25.56,0,0.008889,-0.016913
1992-03-05,25.5,25.64,25.5,25.6,0,0.01385,0.01906
1992-03-12,25.61,25.68,25.6,25.68,0,0.021084,0.059379
1992-03-19,25.68,25.7,25.61,25.63,0,0.023949,0.074207
1992-03-26,25.65,25.7,25.62,25.66,0,0.024461,0.088792
1992-04-02,25.63,25.67,25.58,25.62,0,0.021899,0.088094
1992-04-09,25.64,25.68,25.58,25.61,0,0.018593,0.083651
1992-04-16,25.62,25.63,25.55,25.63,0,0.021439,0.083175
1992-04-23,25.65,25.68,25.57,25.68,0,0.019324,0.091682
1992-04-30,25.65,25.7,25.5,25.64,0,0.011714,0.086903
1992-05-07,25.62,25.7,25.56,25.61,0,0.005546,0.075553
1992-05-14,25.57,25.65,25.3,25.55,0,0.003033,0.053749
1992-05-21,25.52,25.6,25.3,25.51,0,0.000119,0.029726
1992-05-28,25.49,25.525,25.45,25.49,0,-0.00128,0.008975
1992-06-04,25.48,25.54,25.4,25.44,0,0.001033,-0.015521
1992-06-11,25.46,25.46,25.25,25.44,0,0.002036,-0.031393
1992-06-18,25.39,25.44,25.35,25.37,0,-0.003395,-0.056041
1992-06-25,25.4,25.42,25.33,25.4,0,-0.001848,-0.064808
1992-07-02,25.32,25.38,25.2,25.225,0,-0.009269,-0.106271
1992-07-09,25.29,25.31,25.075,25.24,0,-0.00311,-0.12827
1992-07-16,25.3,25.32,25.22,25.25,0,-0.007976,-0.137989
1992-07-23,25.23,25.32,25.163,25.29,0,-0.005725,-0.13303
1992-07-30,25.33,25.45,25.255,25.4,0,-0.000774,-0.103655
1992-08-06,25.32,25.35,25.28,25.33,0,0.004515,-0.096848
1992-08-13,25.3,25.33,25.27,25.31,0,-0.001492,-0.094529
1992-08-20,25.28,25.28,25.24,25.28,0,-0.009449,-0.097344
1992-08-27,25.23,25.28,25.14,25.18,0,-0.020909,-0.11831
1992-09-03,25.16,25.16,25.09,25.13,0,-0.028661,-0.140254
1992-09-10,25.15,25.2,25.08,25.17,0,-0.031527,-0.143333
1992-09-17,25.18,25.38,25.15,25.35,0,-0.018937,-0.104241
1992-09-24,25.35,25.4,25.21,25.25,0,-0.017329,-0.097345
1992-10-01,25.19,25.25,25.095,25.17,0,-0.016817,-0.107654
1992-10-08,25.12,25.23,25.1,25.23,0,-0.011639,-0.099496
1992-10-15,25.26,25.28,25.19,25.23,0,-0.009017,-0.091995
1992-10-22,25.21,25.33,25.05,25.32,0,-0.005005,-0.066039
1992-10-29,25.21,25.39,25.2,25.39,0,0.002621,-0.03266
1992-11-05,25.35,25.41,25.28,25.28,0,0.002193,-0.033173
1992-11-12,25.4,25.47,25.28,25.47,0,0.013685,0.007401
1992-11-19,25.44,25.53,25.44,25.5,0,0.021187,0.040429
1992-11-26,25.47,25.55,25.45,25.5,0,0.023694,0.061417
1992-12-03,25.49,25.55,25.49,25.52,0,0.025965,0.078231
1992-12-10,25.49,25.55,25.43,25.47,0,0.022192,0.077113
1992-12-17,25.45,25.53,25.43,25.5,0,0.023044,0.081091
1992-12-24,25.44,25.5,25.43,25.47,0,0.018398,0.075657
1992-12-31,25.47,25.57,25.47,25.55,0,0.026576,0.087393
1993-01-08,25.54,25.57,25.51,25.55,0,0.027225,0.093305
