date,open,high,low,close,volume,mtm_hist,macd_hist
2005-03-21,30.819,31.294,30.67,31.294,0,,
2005-03-31,31.345,31.9,31.25,31.53,0,,
2005-04-13,31.54,31.685,31.384,31.54,0,,
2005-04-25,31.56,31.76,31.356,31.374,0,,
2005-05-06,31.385,31.513,31.102,31.16,0,,
2005-05-18,31.267,31.432,31.183,31.383,0,,
2005-05-30,31.335,31.437,31.283,31.33,0,,
2005-06-09,31.361,31.483,31.148,31.308,0,,
2005-06-21,31.33,31.506,31.23,31.39,0,,
2005-07-01,31.391,31.7,31.29,31.677,0,,
2005-07-13,31.746,32.159,31.712,31.979,0,,
2005-07-26,32.082,32.1,31.55,31.866,0,,
2005-08-08,31.956,32.027,31.758,31.949,0,,
2005-08-18,31.949,32.116,31.85,32.113,0,,
2005-08-30,32.165,32.7,32.085,32.656,0,,
2005-09-12,32.718,32.844,32.38,32.683,0,,
2005-09-22,32.75,33.155,32.71,33.135,0,,
2005-10-04,33.135,33.325,33.13,33.298,0,,
2005-10-17,33.298,33.495,33.166,33.45,0,,
2005-10-27,33.45,33.8,33.45,33.666,0,,
2005-11-08,33.666,33.746,33.51,33.716,0,,
2005-11-18,33.716,33.716,33.372,33.631,0,,
2005-11-30,33.631,33.66,33.42,33.516,0,,
2005-12-12,33.516,33.648,33.39,33.554,0,,
2005-12-22,33.554,33.554,33.104,33.261,0,,
2006-01-03,33.261,33.261,32.595,32.645,0,,0.749072
2006-01-13,32.645,32.645,31.831,31.995,0,,0.591342
2006-01-25,31.995,32.215,31.875,31.97,0,,0.460022
2006-02-10,32.021,32.52,31.94,32.267,0,,0.380515
2006-02-22,32.267,32.646,32.215,32.646,0,,0.349562
2006-03-07,32.646,32.68,32.2,32.529,0,,0.310529
2006-03-17,32.58,32.6,32.335,32.43,0,,0.267411
2006-03-29,32.43,32.692,32.299,32.598,0,,0.246395
2006-04-11,32.598,32.705,32.25,32.445,0,,0.212971
2006-04-21,32.445,32.578,32.235,32.308,0,,0.171866
2006-05-04,32.308,32.308,31.59,31.689,0,,0.080713
2006-05-16,31.693,31.86,31.325,31.82,0,,0.021511
2006-05-26,31.82,32.189,31.564,32.037,0,,-0.004342
2006-06-08,32.04,32.58,31.958,32.512,0,0.28969,0.019745
2006-06-20,32.512,32.749,32.35,32.595,0,0.242086,0.045772
2006-06-30,32.596,32.795,32.29,32.399,0,0.308631,0.047141
2006-07-12,32.399,32.534,32.17,32.487,0,0.328062,0.055764
