in_date,out_date
2007-06-29,2008-02-15
2008-04-03,2008-06-20
2009-08-07,2010-04-01
2010-04-16,2010-05-28
2010-07-02,2010-08-27
2010-09-10,2011-01-14
2011-03-18,2011-06-24
2013-02-08,2013-08-09
2013-10-25,2013-12-20
2014-09-26,2014-10-24
2014-11-14,2015-12-18
2016-04-22,2016-05-27
2016-09-15,2016-11-11
2017-01-13,2018-06-08
2019-03-29,2019-06-14
2019-07-05,2019-09-13
2020-01-24,2020-02-07
2020-07-17,2020-07-24
2020-12-18,2021-06-18
2022-03-04,2022-05-20
2023-05-25,2023-09-07
2023-10-06,2023-12-01
2024-03-08,2025-10-10
2025-12-05,2026-06-01
