symbol,stock_name,asset_type,industry_type
00002,中电控股,Stock,公用事业
00003,香港中华煤气,Stock,公用事业
00004,九龙仓集团,Stock,地产
00012,恒基地产,Stock,地产
00014,希慎兴业,Stock,地产
00017,新世界发展,Stock,地产
00019,太古股份公司Ａ,Stock,综合企业
00027,银河娱乐,Stock,旅游及消闲设施
00038,第一拖拉机股份,Stock,工业工程
00066,港铁公司,Stock,旅游及消闲设施
00083,信和置业,Stock,地产
00101,恒隆地产,Stock,地产
00107,四川成渝高速公路,Stock,工用运输
00108,国锐生活,Stock,地产
00116,周生生,Stock,专业零售
00119,保利置业集团,Stock,地产
00123,越秀地产,Stock,地产
00135,昆仑能源,Stock,公用事业
00142,第一太平,Stock,食物饮品
00144,招商局港口,Stock,工用运输
00148,建滔集团,Stock,工业工程
00151,中国旺旺,Stock,食物饮品
00152,深圳国际,Stock,工用运输
00165,中国光大控股,Stock,其他金融
00175,吉利汽车,Stock,汽车
00177,江苏宁沪高速公路,Stock,工用运输
00179,德昌电机控股,Stock,汽车
00189,东岳集团,Stock,原材料
00200,新濠国际发展,Stock,旅游及消闲设施
00257,光大环境,Stock,公用事业
00259,亿都（国际控股）,Stock,工业工程
00267,中信股份,Stock,综合企业
00268,金蝶国际,Stock,软件服务
00285,比亚迪电子,Stock,资讯科技器材
00288,万洲国际,Stock,食物饮品
00291,华润啤酒,Stock,食物饮品
00293,国泰航空,Stock,旅游及消闲设施
00317,中船防务,Stock,工业工程
00322,康师傅控股,Stock,食物饮品
00323,马鞍山钢铁股份,Stock,一般金属及矿石
00326,中国星集团,Stock,媒体及娱乐
00345,VITASOY INT'L,Stock,食物饮品
00357,美兰空港,Stock,旅游及消闲设施
00358,江西铜业股份,Stock,一般金属及矿石
00363,上海实业控股,Stock,综合企业
00371,北控水务集团,Stock,公用事业
00373,联合集团,Stock,其他金融
00384,中国燃气,Stock,公用事业
00386,中国石油化工股份,Stock,石油及天然气
00388,香港交易所,Stock,其他金融
00390,中国中铁,Stock,建筑
00392,北京控股,Stock,公用事业
00425,敏实集团,Stock,汽车
00512,远大医药,Stock,药品及生物科技
00517,中远海运国际,Stock,工业工程
00525,广深铁路股份,Stock,旅游及消闲设施
00546,阜丰集团,Stock,食物饮品
00548,深圳高速公路股份,Stock,工用运输
00551,裕元集团,Stock,纺织及服饰
00552,中国通信服务,Stock,资讯科技器材
00553,南京熊猫电子股份,Stock,软件服务
00564,中创智领,Stock,汽车
00565,锦艺集团控股,Stock,地产
00568,山东墨龙,Stock,石油及天然气
00576,浙江沪杭甬,Stock,工用运输
00580,赛晶科技,Stock,工业工程
00586,海螺创业,Stock,工业工程
00596,浪潮数字企业,Stock,软件服务
00598,中国外运,Stock,工用运输
00636,KLN,Stock,工用运输
00639,首钢资源,Stock,煤炭
00688,中国海外发展,Stock,地产
00751,创维集团,Stock,家庭电器及用品
00752,PICO FAR EAST,Stock,媒体及娱乐
00753,中国国航,Stock,旅游及消闲设施
00762,中国联通,Stock,电讯
00763,中兴通讯,Stock,资讯科技器材
00788,中国铁塔,Stock,电讯
00811,新华文轩,Stock,媒体及娱乐
00836,华润电力,Stock,公用事业
00853,微创医疗,Stock,其他医疗保健
00855,中国水务,Stock,公用事业
00856,伟仕佳杰,Stock,软件服务
00863,ＯＳＬ集团,Stock,其他金融
00867,康哲药业,Stock,药品及生物科技
00868,信义玻璃,Stock,工业工程
00881,中升控股,Stock,专业零售
00883,中国海洋石油,Stock,石油及天然气
00902,华能国际电力股份,Stock,公用事业
00914,海螺水泥,Stock,建筑
00934,中石化冠德,Stock,石油及天然气
00939,建设银行,Stock,银行
00956,新天绿色能源,Stock,公用事业
00960,龙湖集团,Stock,地产
00966,中国太平,Stock,保险
00968,信义光能,Stock,工业工程
00995,安徽皖通高速公路,Stock,工用运输
01038,长江基建集团,Stock,公用事业
01044,恒安国际,Stock,消费者主要零售商
01050,嘉利国际,Stock,资讯科技器材
