date,open,high,low,close,volume,mtm_hist,macd_hist
2003-03-13,4.4235,4.4235,4.1876,4.3645,2249364,,
2003-03-18,4.4677,4.7036,4.1728,4.6889,7822704,,
2003-03-21,4.6594,4.7774,4.5267,4.7626,13442852,,
2003-03-26,4.7036,4.7921,4.6152,4.6447,5404546,,
2003-03-31,4.7036,4.8363,4.394,4.4087,3498843,,
2003-04-03,4.394,4.6299,4.3645,4.6152,2866372,,
2003-04-08,4.5709,4.7184,4.5709,4.6447,3104000,,
2003-04-11,4.6152,4.7184,4.5857,4.6594,4423445,,
2003-04-16,4.6889,4.6889,4.4972,4.5267,2900250,,
2003-04-21,4.453,4.6299,4.453,4.6299,1157500,,
2003-04-24,4.512,4.6889,4.276,4.3203,6385500,,
2003-04-29,4.3055,4.5562,4.276,4.512,13309034,,
2003-05-02,4.5709,4.8069,4.5709,4.7774,9685132,,
2003-05-07,4.7921,4.8363,4.5709,4.6299,59697000,,
2003-05-12,4.6299,4.8363,4.6004,4.7921,11158529,,
2003-05-15,4.8363,5.0723,4.8069,5.0133,11100000,,0.072451
2003-05-20,5.0723,5.2639,4.9838,5.1755,7457491,,0.087391
2003-05-23,5.205,5.2345,5.028,5.2345,7773740,,0.099555
2003-05-28,5.2492,5.3082,5.0428,5.1902,11869712,,0.104375
2003-06-02,5.2197,5.4556,5.1755,5.4556,20528768,,0.118883
2003-06-05,5.4851,5.9864,5.4556,5.898,10534216,,0.148905
2003-06-10,6.0159,6.7827,5.8243,6.7237,45525343,,0.208536
2003-06-13,6.8122,6.8269,6.2813,6.473,18490013,,0.236005
2003-06-18,6.4878,6.5615,6.3993,6.4288,10010398,,0.249408
2003-06-23,6.4435,6.5922,6.2588,6.3194,13719975,,0.24901
2003-06-26,6.3043,6.3952,6.0315,6.0618,15032525,,0.231207
2003-07-01,6.0618,6.1073,5.9709,6.0467,7496000,,0.212844
2003-07-04,6.0921,6.4104,6.0921,6.3043,11994237,,0.207795
2003-07-09,6.3043,7.1075,6.1982,7.0317,15267673,,0.235665
2003-07-14,7.0014,7.062,6.865,6.9711,8281896,,0.248566
2003-07-17,6.9711,7.0014,6.6225,6.8802,6111877,,0.248723
2003-07-22,6.865,6.9711,6.8044,6.9105,5026898,,0.245446
2003-07-25,6.9105,7.0923,6.8802,6.9711,9210500,,0.241195
2003-07-30,7.0772,7.0923,6.8498,6.9711,7649373,,0.23334
2003-08-04,6.9711,6.9862,6.6528,6.7438,7817941,,0.211846
2003-08-07,6.7438,6.7589,6.4104,6.4255,8600083,0.21372,0.176286
2003-08-12,6.4407,6.7589,6.4407,6.7438,4789900,0.067947,0.162284
2003-08-15,6.8195,6.9105,6.668,6.668,5025279,0.115498,0.145092
2003-08-20,6.6983,6.8044,6.5619,6.7438,6400109,0.036265,0.133321
2003-08-25,6.7438,7.0014,6.6831,7.0014,4867880,-0.236023,0.134679
2003-08-28,6.9711,7.1075,6.865,7.1075,5285452,-0.159282,0.138238
2003-09-02,7.1832,7.2136,6.9711,7.062,4197782,-0.282255,0.135914
2003-09-05,7.062,7.6076,7.0469,7.2742,6408587,-0.201837,0.141942
2003-09-10,7.2439,7.2742,7.0014,7.1226,3412183,0.143442,0.136159
2003-09-15,7.0165,7.1075,6.7892,7.0772,3379852,0.027562,0.127013
2003-09-18,6.9711,7.2742,6.9408,7.0469,4032519,0.146708,0.116311
2003-09-23,7.0469,7.0469,6.7892,6.8195,3765002,0.396872,0.095015
2003-09-26,6.8953,7.0165,6.8044,6.8953,10131648,0.322181,0.081209
2003-10-01,6.9105,7.0469,6.8498,7.0317,4044520,0.163187,0.076151
2003-10-06,7.1226,7.1529,6.7135,6.7135,12544131,0.291392,0.055341
2003-10-09,6.7286,6.9711,6.7286,6.7741,7881675,0.330794,0.041924
2003-10-14,6.8044,6.9256,6.6225,6.6983,15903160,0.565996,0.027522
2003-10-17,6.7135,6.8347,6.6831,6.7892,9398542,0.867198,0.020848
