in_date,out_date
1993-11-11,1994-01-22
1994-03-12,1994-12-17
1996-01-27,1997-08-09
1998-05-22,1999-03-26
1999-05-21,2000-12-02
2001-02-02,2001-10-26
2002-01-18,2002-11-29
2003-11-28,2004-10-22
2005-03-18,2005-11-25
2006-01-20,2006-03-31
2007-01-19,2007-04-04
2008-05-09,2008-12-19
2009-08-21,2010-03-12
2011-12-09,2013-07-19
2014-04-25,2014-06-06
2014-09-12,2015-10-16
2016-01-08,2016-02-03
2016-04-08,2016-09-23
2017-04-07,2017-08-25
2018-02-09,2018-09-21
2019-09-20,2020-04-01
2020-10-16,2022-06-10
2023-06-30,2023-11-24
2024-01-19,2025-08-08
2025-11-28,2026-05-28
