in_date,out_date
1991-03-12,1991-05-29
1991-06-24,1991-07-12
1991-09-21,1991-10-18
1991-11-20,1991-12-07
1991-12-27,1992-02-18
1992-03-19,1992-03-24
1992-06-08,1992-06-26
1992-08-14,1992-09-10
1992-10-15,1992-11-09
1993-02-05,1993-04-17
1993-08-11,1993-08-27
1993-10-14,1993-11-24
1993-12-03,1994-02-25
1994-04-08,1994-06-20
1994-07-21,1994-09-21
1994-12-08,1995-01-14
1995-07-14,1995-08-07
1995-09-06,1995-10-19
1995-12-01,1996-01-29
1996-03-16,1996-07-06
1996-08-07,1996-10-21
1996-12-03,1997-04-29
1997-06-24,1997-07-25
1997-08-12,1997-08-30
1997-12-04,1998-01-08
1998-02-16,1998-04-20
1998-07-08,1998-07-29
1998-09-18,1998-11-06
1999-03-19,1999-05-18
1999-08-20,1999-09-29
2000-01-07,2000-03-09
2001-01-10,2001-04-02
2001-08-14,2001-09-19
2001-11-21,2002-02-27
2002-03-19,2002-05-15
2002-06-20,2002-07-17
2002-11-11,2003-02-19
2003-04-10,2003-04-30
2003-06-02,2003-11-21
2003-12-25,2004-03-25
2004-05-31,2004-07-07
2004-09-01,2004-10-27
2004-12-15,2005-01-24
2005-06-06,2005-07-12
2005-12-02,2006-02-23
2006-04-06,2006-06-12
2006-07-11,2006-08-15
2006-09-25,2007-01-05
2007-02-14,2007-04-02
2007-04-20,2007-05-03
2007-06-20,2007-08-13
2007-10-04,2007-10-25
2008-01-04,2008-05-29
2008-12-15,2009-01-20
2009-03-13,2009-08-06
2009-09-11,2009-10-30
2009-12-14,2010-01-29
2010-03-22,2010-04-30
2010-06-22,2011-01-24
2011-04-13,2011-08-05
2011-10-27,2011-11-23
2012-01-17,2012-04-05
2012-06-25,2012-07-24
2012-08-16,2012-10-15
2012-12-03,2013-03-20
2013-04-24,2013-06-14
2013-07-18,2013-08-22
2013-10-16,2013-11-04
2013-11-19,2013-12-23
2014-03-28,2014-04-30
2014-07-31,2014-09-19
2014-11-24,2015-01-19
2015-03-03,2015-05-21
2015-09-18,2015-11-13
2016-02-23,2016-05-05
2016-06-07,2016-07-18
2016-09-23,2016-10-12
2016-11-29,2017-04-19
2017-06-05,2017-07-12
2017-11-03,2018-02-07
2018-03-23,2018-06-28
2018-08-03,2018-09-07
2018-09-25,2018-10-11
2018-11-21,2018-12-26
2019-01-24,2019-05-14
2019-05-29,2019-07-23
2019-09-19,2020-02-03
2020-04-15,2020-11-02
2020-11-12,2021-01-18
2021-02-25,2021-05-12
2021-06-28,2021-08-16
2021-09-02,2021-10-08
2021-10-27,2021-12-14
2022-02-10,2022-04-27
2022-06-06,2022-06-14
2022-08-12,2022-09-22
2022-11-15,2023-07-10
2023-09-05,2024-01-22
2024-02-27,2024-08-08
2024-11-26,2024-12-27
2025-02-11,2025-04-01
2025-05-13,2025-06-19
2025-09-09,2025-10-03
2025-12-17,2026-01-26
2026-04-17,2026-05-05
