symbol,in_date,entry_close,out_date,out_close,profit,profit%
0050,2005-09-16,7.09,2008-07-04,7.93,0.84,0.118477
0050,2009-10-02,7.95,2011-11-11,8.44,0.49,0.061635
0050,2012-11-30,9.2,2015-12-11,11.12,1.92,0.208696
0050,2016-09-23,13.53,2019-01-25,15.54,2.01,0.148559
0050,2019-09-27,17.68,2022-07-15,26.28,8.6,0.486425
0051,2009-07-15,15.05,2011-09-16,17.89,2.84,0.188704
0051,2013-01-29,17.89,2015-07-02,20.55,2.66,0.148686
0051,2016-08-22,19.67,2018-11-06,23.15,3.48,0.176919
0051,2019-10-23,28.77,2020-04-23,26.64,-2.13,-0.074035
0051,2020-05-28,29.29,2022-07-13,45.37,16.08,0.548993
0051,2023-06-15,62.15,2025-04-14,66.2,4.05,0.065165
0052,2009-07-31,18.07,2011-08-12,17.94,-0.13,-0.007194
0052,2012-04-13,20.01,2012-08-17,18.72,-1.29,-0.064468
0052,2012-11-23,19.74,2015-08-14,24.03,4.29,0.217325
0052,2016-03-18,28.25,2018-11-23,37.17,8.92,0.315752
0052,2019-05-03,44.74,2022-05-27,94.95,50.21,1.122262
0052,2023-03-24,99.57,2025-12-19,35.64,-63.93,-0.642061
0053,2009-05-27,13.37,2011-08-05,14.8,1.43,0.106956
0053,2012-03-23,16.29,2012-08-24,15.3,-0.99,-0.060773
0053,2012-09-21,16.08,2015-08-07,19.16,3.08,0.191542
0053,2016-04-08,20.7,2018-10-19,26.54,5.84,0.282126
0053,2019-05-10,29.44,2022-05-06,55.51,26.07,0.88553
0053,2023-03-03,56.42,2025-05-02,91.6,35.18,0.623538
0055,2009-05-27,7.73,2012-08-24,7.44,-0.29,-0.037516
0056,2010-03-19,9.24,2011-08-12,10.34,1.1,0.119048
0056,2013-02-01,11.23,2013-12-13,11.06,-0.17,-0.015138
0056,2014-01-10,11.24,2015-07-17,11.75,0.51,0.045374
0056,2016-09-02,13.01,2018-07-06,14.75,1.74,0.133743
0056,2019-07-12,16.78,2022-04-29,23.59,6.81,0.40584
0056,2023-07-14,28.51,2025-04-11,31.13,2.62,0.091898
0057,2010-03-05,27.37,2011-09-23,26.89,-0.48,-0.017537
0057,2012-12-07,30.35,2015-09-11,36.76,6.41,0.211203
0057,2016-09-30,42.05,2018-11-23,45.73,3.68,0.087515
0057,2019-09-20,54.0,2022-06-24,82.6,28.6,0.52963
0061,2014-07-25,12.16,2015-07-31,18.87,6.71,0.551809
0061,2015-08-14,19.85,2016-09-02,16.25,-3.6,-0.18136
0061,2017-06-09,15.88,2019-08-08,17.24,1.36,0.085642
0061,2019-11-01,17.98,2022-12-09,18.82,0.84,0.046719
0061,2025-07-18,18.46,2026-01-02,18.86,0.4,0.021668
006201,2013-07-31,8.26,2015-08-31,7.41,-0.85,-0.102906
006201,2017-02-24,9.4,2018-10-31,7.9,-1.5,-0.159574
006201,2019-08-30,10.72,2022-08-31,16.15,5.43,0.50653
006204,2013-10-04,29.63,2015-08-14,30.85,1.22,0.041174
006204,2016-09-14,34.12,2018-11-09,40.48,6.36,0.186401
006204,2019-09-20,46.38,2022-06-24,70.21,23.83,0.513799
006204,2023-07-14,84.89,2025-05-09,105.4,20.51,0.241607
006205,2013-04-01,21.06,2013-07-16,19.6,-1.46,-0.069326
006205,2013-12-24,20.33,2014-03-12,18.37,-1.96,-0.096409
006205,2014-08-11,20.5,2015-08-03,32.73,12.23,0.596585
006205,2016-08-29,27.56,2017-05-11,25.82,-1.74,-0.063135
006205,2017-06-27,28.57,2018-03-26,31.11,2.54,0.088904
006205,2019-02-21,29.3,2019-10-04,30.37,1.07,0.036519
006205,2020-07-10,34.93,2021-07-05,37.46,2.53,0.072431
006205,2023-01-31,33.58,2023-08-22,29.88,-3.7,-0.110185
006205,2024-03-27,29.11,2025-04-21,32.23,3.12,0.10718
006206,2014-08-01,19.22,2015-08-05,30.2,10.98,0.57128
006206,2016-08-31,26.4,2018-04-11,32.3,5.9,0.223485
006206,2019-02-25,31.39,2019-12-05,32.05,0.66,0.021026
006206,2020-08-05,34.9,2021-04-28,37.6,2.7,0.077364
006206,2023-02-02,32.03,2023-08-24,28.53,-3.5,-0.109273
006206,2024-04-24,28.49,2025-05-06,29.14,0.65,0.022815
006207,2014-08-15,14.74,2016-01-22,20.5,5.76,0.390773
006207,2017-06-30,21.8,2018-06-29,21.55,-0.25,-0.011468
006207,2019-03-15,23.21,2020-04-10,22.03,-1.18,-0.05084
006207,2020-07-17,26.4,2022-02-11,28.54,2.14,0.081061
006207,2024-10-11,25.6,2025-05-29,23.17,-2.43,-0.094922
00635U,2015-11-02,19.06,2016-01-08,18.43,-0.63,-0.033054
00635U,2016-04-19,20.34,2016-11-03,21.41,1.07,0.052606
00635U,2017-05-02,19.85,2017-07-18,19.5,-0.35,-0.017632
00635U,2017-09-30,20.09,2017-12-27,19.91,-0.18,-0.00896
00635U,2018-03-20,20.19,2018-08-28,18.32,-1.87,-0.09262
00635U,2019-03-05,19.13,2019-05-15,19.12,-0.01,-0.000523
00635U,2019-09-09,22.04,2019-12-24,21.4,-0.64,-0.029038
00635U,2020-03-17,21.36,2020-12-04,25.04,3.68,0.172285
00635U,2021-06-22,23.91,2021-08-24,24.07,0.16,0.006692
