date,open,high,low,close,volume,mtm_hist,macd_hist
2008-01-04,9.36,9.75,9.3,9.49,34607,,
2008-01-18,9.34,9.9,9.12,9.34,35240,,
2008-02-01,9.32,9.34,8.42,8.59,19966,,
2008-02-22,8.5,8.94,8.49,8.87,8010,,
2008-03-07,8.94,9.56,8.93,9.43,11002,,
2008-03-21,9.41,9.47,8.83,9.31,11364,,
2008-04-03,9.84,9.85,9.39,9.5,14826,,
2008-04-18,9.5,10.06,9.47,9.93,17925,,
2008-05-02,9.96,10.01,9.78,9.93,12345,,
2008-05-16,9.9,10.21,9.34,10.09,10076,,
2008-05-30,10.12,10.32,9.47,9.59,10119,,
2008-06-13,9.6,9.69,8.81,8.88,8599,,
2008-06-27,8.95,9.06,8.3,8.57,9015,,
2008-07-11,8.58,8.58,7.96,8.22,8695,,
2008-07-25,8.16,8.34,7.68,8.19,6848,,
2008-08-08,8.05,8.19,7.72,7.99,3818,,
2008-08-22,8.13,8.36,7.83,7.94,2562,,
2008-09-05,7.94,8.23,7.25,7.31,4351,,
2008-09-19,7.35,7.79,6.15,6.7,6701,,
2008-10-03,6.9,6.98,6.18,6.49,4485,,
2008-10-17,6.43,6.43,5.5,5.52,3256,,
2008-10-31,5.44,5.67,4.37,5.46,5750,,
2008-11-14,5.48,5.8,4.99,5.23,4345,,
2008-11-28,5.18,5.18,4.51,5.01,3003,,
2008-12-12,5.01,5.29,4.66,4.99,2883,,
2008-12-26,5.04,5.29,4.8,4.95,2573,,-2.954615
2009-01-10,4.95,5.36,4.91,5.11,1567,,-2.587607
2009-01-21,5.22,5.22,4.85,4.89,693,,-2.599636
2009-02-13,4.92,5.29,4.9,5.29,1728,,-2.0367
2009-02-27,5.33,5.33,5.07,5.26,1370,,-1.913611
2009-03-13,5.26,5.83,5.07,5.8,9816,,-1.271862
2009-03-27,5.8,6.28,5.8,6.15,6502,,-0.853576
2009-04-10,6.09,6.68,5.96,6.68,12870,,-0.299607
2009-04-24,6.66,6.94,6.41,6.75,6380,,-0.212599
2009-05-08,6.71,7.64,6.35,7.44,7385,,0.442038
2009-05-22,7.44,7.56,7.19,7.44,3978,,0.409294
2009-06-06,7.44,7.86,7.38,7.6,4486,,0.527124
2009-06-19,7.68,7.68,6.86,7.0,1362,,-0.067478
2009-07-03,7.07,7.51,6.9,7.49,1084,,0.391224
2009-07-17,7.49,7.88,7.35,7.84,2011,,0.686319
2009-07-31,7.83,8.3,7.83,8.2,2837,,0.968814
2009-08-14,8.2,8.39,7.89,8.26,1383,,0.952605
2009-08-28,8.24,8.24,7.77,7.9,924,,0.548709
2009-09-11,7.9,8.6,7.86,8.48,3050,,1.045101
2009-09-25,8.48,8.68,8.37,8.43,3252,,0.921389
2009-10-09,8.39,8.93,8.35,8.76,3139,,1.158694
2009-10-23,8.78,9.09,8.76,8.86,12262,,1.165457
2009-11-06,8.86,8.91,8.39,8.65,3069,,0.884683
2009-11-20,8.68,9.04,8.65,8.88,1989,,1.032114
2009-12-04,9.04,9.04,8.69,8.84,1556,,0.918624
2009-12-18,8.85,9.15,8.84,8.96,1674,,0.961689
2009-12-31,8.96,9.53,8.96,9.53,1826,,1.41823
2010-01-15,9.54,9.85,9.49,9.82,4842,,1.581695
2010-01-29,9.8,9.82,8.96,9.1,3854,,0.797865
2010-02-10,9.13,9.13,8.51,8.94,2279,,0.590616
2010-03-05,9.08,9.15,8.9,9.12,1337,,0.713533
2010-03-19,9.13,9.28,9.04,9.24,1206,1.601993,0.77179
2010-04-02,9.22,9.37,9.14,9.35,1393,1.568438,0.816472
2010-04-16,9.37,9.56,9.35,9.52,1836,1.542357,0.9134
2010-04-30,9.49,9.61,9.22,9.5,3164,1.49264,0.827223
2010-05-14,8.84,9.52,8.84,9.31,1540,1.433511,0.590021
2010-05-28,9.24,9.24,8.64,8.86,2065,1.336379,0.129649
2010-06-11,8.82,8.92,8.65,8.91,784,1.234325,0.166342
2010-06-25,8.92,9.24,8.91,9.06,1361,1.126097,0.292909
2010-07-09,9.16,9.39,8.88,9.37,1545,1.036641,0.558249
2010-07-23,9.37,9.62,9.25,9.61,1793,0.937816,0.739119
2010-08-06,9.61,9.94,9.61,9.85,2306,0.857649,0.906592
2010-08-20,9.85,10.02,9.69,10.01,3133,0.784609,0.987585
2010-09-03,9.98,10.18,9.7,9.91,4711,0.736555,0.821838
2010-09-17,9.98,10.37,9.86,10.3,2214,0.687238,1.122072
2010-10-01,10.3,10.38,10.18,10.34,1438,0.62951,1.075993
2010-10-15,10.34,10.62,10.24,10.6,4513,0.573113,1.237031
2010-10-29,10.59,10.79,10.27,10.71,3062,0.52383,1.247251
2010-11-12,10.71,11.07,10.67,10.87,3183,0.498216,1.30301
2010-11-26,10.87,10.91,10.59,10.74,2735,0.446737,1.08612
2010-12-10,10.75,11.32,10.75,11.05,7334,0.414025,1.292704
2010-12-24,11.08,11.36,11.04,11.35,1693,0.382582,1.474726
2011-01-07,11.25,11.56,11.21,11.4,2228,0.351703,1.411783
2011-01-21,11.24,11.6,11.24,11.48,3128,0.334134,1.381281
2011-02-11,11.48,11.5,10.89,10.92,1962,0.287664,0.760445
2011-02-25,10.92,11.31,10.83,11.03,1087,0.252606,0.805968
2011-03-11,11.04,11.12,10.57,10.65,902,0.203154,0.394414
2011-03-25,10.59,10.77,10.0,10.73,1409,0.142632,0.439273
2011-04-08,10.67,10.98,10.63,10.88,1617,0.086461,0.545623
2011-04-22,10.88,11.13,10.68,11.01,10831,0.070999,0.625577
2011-05-06,11.03,11.2,10.88,10.99,6906,0.062874,0.560719
2011-05-20,10.99,11.19,10.95,10.95,773,0.047522,0.482147
2011-06-03,10.83,11.44,10.83,11.4,2173,0.046717,0.863099
2011-06-17,11.39,11.46,11.03,11.08,18293,0.029744,0.50287
2011-07-01,11.1,11.36,10.92,11.36,9927,0.019604,0.724879
2011-07-15,11.36,12.2,11.22,11.38,1647,0.012578,0.689703
2011-07-29,11.38,11.65,11.36,11.48,1604,0.017433,0.731207
2011-08-12,11.5,11.58,9.73,10.34,10368,-0.00427,-0.378512
2011-08-26,10.35,10.53,9.81,10.06,891,-0.03432,-0.609734
2011-09-09,10.14,10.56,9.96,10.23,1019,-0.05803,-0.407161
2011-09-23,10.23,10.38,9.6,9.81,1053,-0.104103,-0.76589
2011-10-07,9.81,9.81,9.46,9.66,1145,-0.155611,-0.848046
2011-10-21,9.83,10.32,9.83,10.11,10932,-0.188946,-0.368561
2011-11-04,10.26,10.46,10.12,10.46,16988,-0.20779,-0.017186
2011-11-18,10.48,10.54,10.04,10.06,6223,-0.2327,-0.386283
2011-12-02,10.19,10.19,9.33,10.02,7068,-0.267213,-0.394707
2011-12-16,10.04,10.04,9.54,9.57,3213,-0.311568,-0.782136
2011-12-30,9.51,10.02,9.27,9.88,4295,-0.343657,-0.437163
2012-01-13,9.88,10.29,9.73,10.17,4457,-0.360573,-0.136262
2012-02-04,10.28,11.08,10.08,11.01,6033,-0.346343,0.651609
2012-02-17,11.01,11.29,10.84,11.18,7581,-0.32067,0.760749
2012-03-03,11.21,11.55,11.11,11.4,3658,-0.300233,0.908101
2012-03-16,11.41,11.5,11.04,11.33,3332,-0.294645,0.77602
2012-03-30,11.33,11.35,10.84,10.94,3480,-0.303918,0.357426
2012-04-13,10.94,11.0,10.48,10.86,3127,-0.314974,0.256876
2012-04-27,10.85,10.85,10.5,10.56,2543,-0.311852,-0.03993
2012-05-11,10.54,10.91,10.54,10.6,1782,-0.309308,6.5e-05
2012-05-25,10.6,10.6,10.06,10.07,5664,-0.310224,-0.490681
2012-06-08,10.17,10.39,9.89,10.08,6022,-0.311017,-0.445075
2012-06-22,10.16,10.44,10.09,10.35,2390,-0.304666,-0.162106
2012-07-06,10.28,10.83,10.24,10.66,3980,-0.290264,0.136939
2012-07-20,10.66,10.7,10.39,10.52,3811,-0.280467,-0.002835
2012-08-03,10.48,10.79,10.28,10.68,3780,-0.262687,0.145524
2012-08-17,10.81,11.23,10.79,11.21,5484,-0.242928,0.625485
2012-08-31,11.21,11.23,10.89,11.02,4547,-0.219852,0.403227
2012-09-14,11.02,11.28,10.86,11.26,4729,-0.200531,0.59558
2012-09-28,11.26,11.36,11.1,11.15,4229,-0.187793,0.449611
2012-10-12,11.14,11.2,10.6,10.66,9795,-0.197616,-0.037397
2012-10-26,10.67,10.89,10.08,10.08,43332,-0.183333,-0.571664
2012-11-09,10.11,10.17,9.78,10.13,28883,-0.157846,-0.483022
2012-11-23,10.13,10.17,9.91,10.15,11268,-0.141126,-0.428724
2012-12-07,10.2,10.75,10.2,10.62,16070,-0.09324,0.038218
2012-12-22,10.62,10.78,10.46,10.55,11347,-0.050098,-0.029427
2013-01-04,10.51,10.91,10.51,10.81,9204,-0.021214,0.213493
2013-01-18,10.81,10.94,10.73,10.87,6878,-0.008008,0.253234
2013-02-01,10.86,11.26,10.84,11.23,17059,0.031076,0.56781
2013-02-23,11.26,11.3,11.08,11.15,8701,0.061506,0.451676
2013-03-08,11.15,11.25,11.04,11.22,5666,0.105305,0.483033
