date,open,high,low,close,volume,mtm_hist,macd_hist
2015-09-09,19.67,20.04,19.29,20.03,10011,,
2015-09-14,19.5,19.86,19.21,19.54,8939,,
2015-09-17,19.24,19.98,19.15,19.92,7157,,
2015-09-22,19.76,19.79,19.23,19.65,6871,,
2015-09-25,19.86,19.88,19.47,19.65,5827,,
2015-10-02,19.4,19.6,19.22,19.43,12623,,
2015-10-07,19.43,20.55,19.37,20.54,16703,,
2015-10-13,20.44,20.73,20.04,20.08,18470,,
2015-10-16,19.85,19.96,19.81,19.9,13164,,
2015-10-21,19.94,20.02,19.56,19.61,11180,,
2015-10-26,19.48,19.65,19.3,19.39,13454,,-0.069669
2015-10-29,19.24,19.6,18.92,19.55,34324,,-0.078876
2015-11-03,19.58,19.78,19.55,19.7,8407,,-0.062743
2015-11-06,20.01,20.15,19.48,19.55,13846,,-0.06801
2015-11-11,19.35,19.41,19.22,19.27,11641,,-0.10124
2015-11-16,19.03,19.22,18.88,18.96,27405,,-0.153103
2015-11-19,19.08,19.08,18.89,18.94,10398,,-0.179064
2015-11-24,18.95,18.99,18.85,18.99,6879,,-0.180038
2015-11-27,19.15,19.25,19.01,19.04,10815,,-0.166092
2015-12-02,18.98,18.98,18.8,18.83,8728,,-0.174882
2015-12-07,18.73,18.89,18.55,18.69,7856,,-0.188453
2015-12-10,18.5,18.54,18.38,18.4,7592,,-0.222081
2015-12-15,18.39,18.39,17.95,18.11,7573,,-0.266046
2015-12-18,18.22,18.25,17.85,17.86,8435,,-0.309309
2015-12-23,17.84,17.98,17.59,17.67,14359,,-0.34295
2015-12-28,17.98,18.02,17.73,17.77,9917,,-0.334739
2015-12-31,16.36,16.76,16.33,16.43,49044,,-0.473436
2016-01-06,16.71,16.95,16.48,16.5,21458,,-0.525115
2016-01-11,16.05,16.05,15.43,15.49,26116,,-0.651109
2016-01-14,15.11,15.15,14.25,14.4,45203,,-0.824863
2016-01-19,14.68,14.68,13.73,14.32,67465,,-0.898532
2016-01-22,13.79,14.09,13.45,14.08,138882,,-0.928167
2016-01-27,14.9,15.05,14.27,14.8,142377,,-0.815894
2016-01-30,14.99,15.92,14.96,15.74,104081,,-0.598308
2016-02-03,15.76,15.76,14.74,14.94,102431,,-0.53554
2016-02-17,14.9,15.6,14.82,15.05,144850,,-0.459581
2016-02-22,15.48,15.48,14.78,14.97,209114,,-0.402006
2016-02-25,15.23,15.23,14.68,14.99,207508,,-0.346211
2016-03-02,15.15,15.4,15.05,15.35,103765,,-0.253656
2016-03-07,15.41,16.26,15.36,16.25,114524,,-0.079343
2016-03-10,16.6,16.6,16.0,16.49,131732,,0.056765
2016-03-15,16.48,16.59,15.91,15.91,98176,,0.066031
2016-03-18,15.99,16.69,15.96,16.65,106641,,0.156497
2016-03-23,16.51,16.74,16.41,16.7,80874,,0.208846
2016-03-28,16.38,16.45,16.29,16.44,40035,,0.199109
2016-03-31,16.27,16.27,15.97,16.0,60580,,0.131451
2016-04-07,16.09,16.15,15.32,15.85,79620,,0.067061
2016-04-12,15.67,16.6,15.66,16.54,124605,,0.107684
2016-04-15,17.0,17.1,16.85,16.92,88932,,0.171974
2016-04-20,15.9,16.64,15.86,16.49,125379,,0.150862
2016-04-25,17.2,17.49,17.13,17.14,88432,,0.208493
2016-04-28,17.22,17.93,17.12,17.85,44527,-0.524771,0.317392
2016-05-04,18.05,18.2,17.35,17.42,51655,-0.53119,0.315909
2016-05-09,17.58,17.94,17.29,17.83,36977,-0.549374,0.348792
2016-05-12,17.16,18.28,17.13,18.27,70582,-0.576534,0.404138
2016-05-17,18.32,18.95,18.28,18.9,37766,-0.614078,0.492836
2016-05-20,18.98,19.08,18.62,19.02,34016,-0.638162,0.536451
2016-05-25,18.81,19.07,18.64,19.05,30664,-0.687285,0.540438
2016-05-30,19.18,19.31,19.05,19.1,22527,-0.718804,0.523028
2016-06-02,19.2,19.26,18.95,19.06,23207,-0.762335,0.482997
2016-06-06,19.1,19.17,19.0,19.09,11405,-0.819045,0.439741
2016-06-13,19.24,19.6,19.0,19.12,28554,-0.858717,0.396625
2016-06-16,19.07,19.07,18.59,18.64,21573,-0.874937,0.29493
2016-06-21,18.38,19.25,18.31,19.21,42665,-0.87458,0.288211
2016-06-24,19.42,19.45,18.33,18.49,48147,-0.820555,0.184773
2016-06-29,18.43,18.92,18.33,18.86,43880,-0.799726,0.158451
2016-07-04,19.25,19.36,19.02,19.2,41074,-0.780616,0.175714
2016-07-07,19.05,19.06,18.36,18.77,68396,-0.747579,0.126432
2016-07-13,18.2,18.5,18.02,18.42,75807,-0.703191,0.049411
2016-07-18,18.12,18.17,17.95,18.09,37866,-0.641615,-0.038074
2016-07-21,17.88,18.15,17.83,18.13,22575,-0.562366,-0.083574
2016-07-26,17.85,17.9,17.47,17.48,35282,-0.468986,-0.184058
2016-07-29,17.35,17.38,16.65,16.68,56672,-0.383183,-0.330343
2016-08-03,16.78,16.91,16.26,16.3,52773,-0.280313,-0.446926
2016-08-08,16.66,16.83,16.59,16.83,35072,-0.207634,-0.431942
2016-08-11,16.92,16.97,16.63,16.7,26681,-0.15059,-0.417931
2016-08-16,17.16,17.69,17.16,17.62,53691,-0.139585,-0.280166
2016-08-19,17.85,18.66,17.85,18.64,73086,-0.160549,-0.063393
2016-08-24,18.53,18.53,17.94,18.24,58085,-0.146503,0.021038
2016-08-29,18.1,18.27,18.06,18.19,14479,-0.122172,0.064341
2016-09-01,18.16,18.21,17.44,17.5,28813,-0.094397,0.004909
2016-09-06,17.15,17.63,17.06,17.6,59421,-0.056402,-0.018796
2016-09-09,17.46,18.18,17.4,18.13,43607,-0.020509,0.031085
2016-09-13,17.65,17.8,17.52,17.77,24910,0.006631,0.016438
2016-09-20,17.64,17.68,17.19,17.22,47473,0.053998,-0.058539
2016-09-23,17.48,17.66,17.38,17.58,29617,0.093554,-0.057524
2016-09-30,17.39,18.03,17.34,17.92,56539,0.132037,-0.013704
2016-10-05,18.07,18.55,18.05,18.53,47510,0.148392,0.085651
2016-10-11,18.63,19.02,18.55,19.0,50103,0.148159,0.196664
2016-10-14,18.88,18.92,18.52,18.83,33011,0.152271,0.233141
2016-10-19,18.74,18.96,18.71,18.9,13623,0.150998,0.252084
2016-10-24,19.04,19.06,18.75,18.91,26501,0.148898,0.252547
2016-10-27,18.98,19.01,18.5,18.6,18637,0.154711,0.203891
2016-11-01,18.65,18.68,17.78,17.9,32730,0.163602,0.081887
2016-11-04,17.75,17.76,17.32,17.4,51107,0.197594,-0.054158
2016-11-09,17.27,17.51,16.98,17.14,76365,0.210447,-0.16351
2016-11-14,17.47,17.62,17.07,17.1,46721,0.229469,-0.225576
2016-11-17,17.06,17.61,17.02,17.45,35087,0.242005,-0.210112
2016-11-22,17.45,18.41,17.38,18.41,45758,0.212307,-0.076616
2016-11-25,18.23,18.29,18.01,18.03,28018,0.187017,-0.038744
2016-11-30,17.53,17.83,17.43,17.5,43839,0.170078,-0.077452
2016-12-05,18.4,19.01,18.39,18.98,116027,0.116169,0.079387
2016-12-08,19.11,19.24,18.82,18.85,48231,0.05778,0.153487
2016-12-13,18.92,19.69,18.92,19.43,32295,-0.026572,0.259332
2016-12-16,19.38,19.38,19.07,19.23,14373,-0.098763,0.286177
2016-12-21,19.42,19.66,19.33,19.62,17133,-0.151871,0.334957
2016-12-26,19.43,19.55,19.39,19.46,9668,-0.192044,0.328995
2016-12-29,19.53,19.88,19.52,19.84,20487,-0.207776,0.355018
2017-01-04,19.89,20.01,19.62,19.66,16552,-0.186088,0.332173
2017-01-09,19.84,20.0,19.78,19.94,13160,-0.184882,0.336091
2017-01-12,19.58,19.58,19.18,19.51,18199,-0.171777,0.271228
2017-01-17,19.75,19.81,19.56,19.56,13338,-0.179214,0.225656
2017-01-20,19.54,19.57,19.16,19.16,13117,-0.169894,0.140165
2017-02-02,19.39,19.42,19.29,19.32,15496,-0.150708,0.101651
2017-02-07,19.4,19.47,19.22,19.23,6761,-0.140925,0.063171
2017-02-10,18.74,19.09,18.72,19.05,15148,-0.141464,0.015829
2017-02-15,19.28,19.33,18.97,19.0,9990,-0.129421,-0.019056
2017-02-18,19.0,19.01,18.91,19.01,4449,-0.109553,-0.037723
2017-02-22,18.96,19.05,18.93,19.01,5182,-0.076134,-0.047039
2017-03-01,18.94,19.08,18.91,19.07,5372,-0.03755,-0.043201
2017-03-06,19.0,19.03,18.71,18.83,6894,-0.004328,-0.06743
2017-03-09,18.9,18.93,18.15,18.22,16359,0.040549,-0.151261
2017-03-14,17.84,17.88,17.32,17.47,31723,0.096434,-0.283243
2017-03-17,17.44,17.61,17.42,17.48,15856,0.131674,-0.347125
2017-03-22,17.38,17.49,17.23,17.24,12830,0.146234,-0.397192
2017-03-27,17.31,17.36,17.09,17.09,12290,0.14699,-0.425937
2017-03-30,17.12,17.6,17.12,17.58,10276,0.125972,-0.364431
2017-04-06,17.75,18.2,17.72,18.07,20602,0.093593,-0.252133
2017-04-11,18.28,18.78,18.26,18.72,26120,0.058599,-0.095902
2017-04-14,18.86,18.9,18.57,18.68,12280,0.05664,-0.003102
2017-04-19,18.74,18.75,18.54,18.54,8534,0.048045,0.035617
2017-04-24,18.09,18.09,17.71,17.74,8289,0.047857,-0.03827
2017-04-27,17.58,17.62,17.5,17.51,12681,0.092916,-0.107809
2017-05-03,17.44,17.57,17.09,17.1,29298,0.135552,-0.192877
2017-05-08,17.01,17.02,16.34,16.78,48956,0.192367,-0.272424
2017-05-11,16.73,17.01,16.55,16.97,21466,0.225455,-0.284181
2017-05-16,17.08,17.33,16.98,17.27,13805,0.251992,-0.241933
2017-05-19,17.11,17.56,17.06,17.53,17526,0.259352,-0.174312
2017-05-24,17.77,17.99,17.75,17.96,27875,0.261146,-0.074571
2017-05-31,17.99,18.05,17.0,17.23,24556,0.274498,-0.098554
2017-06-03,17.1,17.1,16.84,16.96,15826,0.296978,-0.14028
2017-06-07,16.75,16.98,16.52,16.82,33869,0.30408,-0.175104
2017-06-12,16.3,16.33,16.11,16.27,60006,0.322567,-0.25297
2017-06-15,16.31,16.36,15.8,15.84,29195,0.334748,-0.338463
2017-06-20,15.75,15.82,15.69,15.69,24706,0.349228,-0.391092
2017-06-23,15.4,15.41,14.97,15.16,46631,0.368873,-0.46689
2017-06-28,15.25,15.62,15.25,15.6,23463,0.364108,-0.437395
2017-07-03,15.82,16.25,15.82,16.23,25192,0.338209,-0.324009
2017-07-06,16.4,16.49,15.92,15.99,42571,0.320503,-0.26966
2017-07-11,15.89,15.89,15.65,15.74,14062,0.309556,-0.254231
2017-07-14,16.0,16.05,15.79,15.98,13091,0.292652,-0.204369
2017-07-19,16.1,16.11,15.97,15.99,9543,0.269278,-0.163767
2017-07-24,16.19,16.2,15.8,15.84,13669,0.235349,-0.149658
2017-07-27,15.94,16.33,15.93,16.29,24426,0.173531,-0.080561
2017-08-01,16.4,16.64,16.36,16.59,33180,0.114334,0.000118
2017-08-04,16.39,16.47,16.32,16.35,16551,0.065627,0.019564
2017-08-09,16.52,16.53,16.33,16.34,9661,0.022112,0.029017
2017-08-14,16.52,16.55,16.09,16.26,15080,0.002212,0.023739
2017-08-17,15.94,15.99,15.7,15.72,12496,0.013765,-0.04482
2017-08-22,15.76,16.21,15.74,15.94,14685,0.034382,-0.057303
2017-08-25,15.92,16.1,15.89,15.95,6881,0.049216,-0.060815
2017-08-30,15.94,15.94,15.46,15.46,30945,0.069946,-0.118343
2017-09-04,15.35,15.79,15.33,15.77,27544,0.056147,-0.110045
2017-09-07,15.75,16.21,15.73,16.16,23477,0.027901,-0.053437
2017-09-12,16.19,16.23,15.94,15.97,14534,-0.000937,-0.039817
2017-09-15,15.97,16.22,15.94,16.19,13169,-0.038498,-0.003623
2017-09-20,16.29,16.34,16.16,16.17,14019,-0.0626,0.015713
2017-09-25,16.27,16.29,16.24,16.24,13207,-0.075115,0.034808
2017-09-28,16.49,16.53,16.43,16.49,20573,-0.084082,0.074278
2017-10-02,16.4,16.4,16.3,16.31,4648,-0.074066,0.072806
2017-10-06,16.11,16.33,16.06,16.3,7190,-0.08449,0.067273
2017-10-13,16.31,16.34,16.28,16.33,10332,-0.09997,0.064347
2017-10-18,16.5,16.51,16.4,16.4,7136,-0.116933,0.067875
2017-10-23,16.45,16.45,16.27,16.39,4963,-0.143727,0.065552
2017-10-26,16.32,16.47,16.3,16.45,5970,-0.176784,0.068191
2017-10-31,16.54,16.79,16.52,16.75,16684,-0.213442,0.102229
2017-11-03,16.86,16.9,16.69,16.86,9192,-0.257676,0.130716
2017-11-08,17.09,17.57,17.08,17.44,26819,-0.294146,0.210496
2017-11-13,17.4,17.49,17.39,17.39,8285,-0.302071,0.242009
2017-11-16,17.38,17.38,16.83,16.96,7543,-0.300118,0.198051
2017-11-21,16.94,17.34,16.92,17.23,5434,-0.309245,0.194598
2017-11-24,17.42,17.82,17.42,17.79,16239,-0.321815,0.249942
2017-11-29,17.91,17.93,17.56,17.57,8394,-0.322306,0.244793
2017-12-04,17.51,17.73,17.47,17.66,4715,-0.32567,0.240785
2017-12-07,17.57,17.58,17.11,17.12,4498,-0.298415,0.162648
2017-12-12,17.24,17.8,17.24,17.79,6282,-0.283254,0.188155
2017-12-15,17.54,17.56,17.28,17.42,4388,-0.264587,0.15033
2017-12-20,17.45,17.58,17.42,17.57,2600,-0.251062,0.138514
