date,open,high,low,close,volume,mtm_hist,macd_hist
1991-01-12,188.27,195.06,171.74,171.74,91,,
1991-01-26,171.74,193.33,155.1,187.06,135,,
1991-02-09,187.06,207.46,180.45,207.46,148,,
1991-02-23,207.46,253.79,207.46,232.37,142,,
1991-03-09,232.37,241.47,206.25,223.19,167,,
1991-03-23,223.19,251.96,223.19,247.57,267,,
1991-04-03,247.57,298.98,247.57,293.32,248,,
1991-04-20,293.32,297.71,273.75,289.55,248,,
1991-05-04,289.55,293.47,271.26,284.26,118,,
1991-05-18,284.26,291.58,256.63,265.79,118,,
1991-06-01,265.79,293.22,265.79,281.91,205,,
1991-06-15,281.91,313.76,277.75,313.76,272,,
1991-06-29,313.76,326.39,304.22,304.71,264,,
1991-07-13,304.71,308.14,287.18,297.87,122,,
1991-07-27,297.87,298.35,271.82,298.35,159,,
1991-08-10,298.35,302.17,265.21,285.79,163,,
1991-08-24,285.79,285.89,239.13,244.79,104,,
1991-09-07,244.79,255.02,234.22,254.86,73,,
1991-09-21,254.86,259.32,244.69,254.11,73,,
1991-10-05,254.11,262.39,251.99,256.06,65,,
1991-10-19,256.06,259.65,220.49,225.45,52,,
1991-11-02,225.45,228.1,206.4,221.23,48,,
1991-11-16,221.23,230.19,218.67,225.98,58,,
1991-11-30,225.98,237.23,224.6,224.6,72,,
1991-12-14,224.6,229.17,220.0,225.0,54,,
1991-12-28,225.0,245.43,223.98,245.43,64,,-6.962692
1992-01-11,245.43,270.54,245.43,270.54,96,,16.803063
1992-01-25,270.54,297.47,270.54,291.56,232,,35.021354
1992-02-08,291.56,291.56,282.05,289.01,73,,30.066069
1992-02-22,289.01,289.01,264.84,284.47,119,,23.635249
1992-03-07,284.47,284.47,269.9,272.64,98,,10.930786
1992-03-21,272.64,277.23,264.01,264.01,54,,2.130357
1992-04-02,264.01,269.59,257.35,261.21,46,,-0.620039
1992-04-18,261.21,261.74,250.66,261.74,61,,-0.08337
1992-05-02,261.74,266.2,255.67,263.67,63,,1.709843
1992-05-16,263.67,265.19,247.56,250.45,42,,-10.657553
1992-05-30,250.45,263.18,250.45,252.42,56,,-8.044031
1992-06-13,252.42,259.4,249.38,257.22,37,,-3.003732
1992-06-27,257.22,260.85,247.29,247.29,78,,-11.975678
1992-07-11,247.29,247.29,232.93,240.77,31,,-17.125628
1992-07-25,240.77,240.77,223.98,228.6,51,,-27.125581
1992-08-08,228.6,245.12,227.19,235.67,78,,-18.569982
1992-08-22,235.67,235.67,217.72,221.51,40,,-30.305539
1992-09-03,221.51,232.69,220.97,230.01,41,,-20.190314
1992-09-19,230.01,230.01,198.2,207.06,37,,-39.944735
1992-10-03,207.06,211.6,190.24,208.16,32,,-35.967348
1992-10-17,208.16,213.64,199.95,213.64,40,-14.877794,-28.229026
1992-10-30,213.64,213.64,204.7,204.7,13,-13.19472,-34.415764
1992-11-14,204.7,204.7,197.79,201.96,10,-12.100965,-34.403486
1992-11-28,201.96,207.53,200.14,200.14,6,-11.11439,-33.540264
1992-12-12,200.14,200.69,195.97,199.15,8,-10.273495,-31.972467
1992-12-24,199.15,199.15,176.28,176.28,10,-11.734181,-50.780062
1993-01-09,176.28,176.28,146.6,155.66,16,-15.09557,-66.111169
1993-01-19,155.66,166.2,148.64,166.2,28,-18.063204,-51.454786
1993-02-06,166.2,183.45,155.75,180.17,71,-19.282877,-34.708135
1993-02-20,180.17,192.2,171.84,192.2,103,-19.122065,-20.998273
1993-03-06,192.2,214.66,190.55,210.09,172,-17.204523,-2.878031
1993-03-20,210.09,213.46,201.96,208.88,133,-15.101444,-3.785214
1993-04-03,208.88,228.42,207.02,228.42,107,-12.106039,14.587765
1993-04-17,228.42,231.11,204.42,204.42,89,-10.889022,-8.715032
1993-05-01,204.42,215.24,204.42,207.94,104,-9.716684,-4.810215
1993-05-15,207.94,210.35,201.41,204.79,94,-8.153865,-7.370569
1993-05-29,204.79,204.79,190.41,193.23,33,-7.533048,-17.528305
1993-06-12,193.23,193.23,183.7,183.84,23,-7.688605,-24.924357
1993-06-26,183.84,183.84,176.26,177.4,23,-7.528668,-29.041071
