date,open,high,low,close,volume,mtm_hist,macd_hist
1987-01-17,1039.11,1129.71,1039.11,1129.71,480,,
1987-02-07,1129.71,1195.47,1122.65,1195.47,489,,
1987-02-21,1195.47,1229.57,1193.16,1221.32,582,,
1987-03-07,1221.32,1309.42,1221.32,1282.58,643,,
1987-03-21,1282.58,1339.15,1262.26,1339.15,536,,
1987-04-04,1339.15,1478.66,1339.15,1461.79,735,,
1987-04-18,1461.79,1629.6,1461.79,1535.51,976,,
1987-05-02,1535.51,1840.75,1535.51,1830.74,1168,,
1987-05-16,1830.74,1860.79,1697.35,1751.74,952,,
1987-05-30,1751.74,1906.13,1751.74,1878.61,882,,
1987-06-13,1878.61,1878.61,1691.11,1741.3,660,,
1987-06-27,1741.3,1778.37,1699.44,1703.69,576,,
1987-07-11,1703.69,1823.3,1604.79,1823.3,508,,
1987-07-25,1823.3,2041.48,1821.37,2041.48,915,,
1987-08-08,2041.48,2198.53,1974.51,2198.53,954,,
1987-08-22,2198.53,2607.64,2198.53,2529.49,1524,,
1987-09-05,2529.49,3291.43,2529.49,3082.97,1940,,
1987-09-19,3082.97,3782.76,3024.21,3782.76,2245,,
1987-10-03,3782.76,4796.73,3692.17,4396.04,2651,,
1987-10-17,4396.04,4396.04,3391.86,3551.75,1616,,
1987-10-30,3551.75,3665.93,2701.0,2722.32,846,,
1987-11-14,2722.32,2827.97,2448.66,2448.66,796,,
1987-11-28,2448.66,3055.76,2448.1,2874.92,1442,160.502405,
1987-12-12,2874.92,2991.78,2662.01,2767.12,1345,416.731793,
1987-12-24,2767.12,2816.31,2361.56,2361.56,871,744.080236,
1988-01-09,2361.56,2513.55,2241.25,2420.17,544,770.649716,450.083514
1988-01-23,2420.17,2792.64,2365.83,2789.78,1282,553.697966,447.345774
1988-02-06,2789.78,3140.05,2789.78,3140.05,1696,289.432952,510.198681
1988-02-27,3140.05,3425.4,3104.54,3425.4,1965,137.060627,601.361743
1988-03-12,3425.4,3522.76,3177.38,3232.62,1765,50.80294,608.12754
1988-03-26,3232.62,3534.9,3171.41,3295.03,1835,-87.285685,612.940316
1988-04-09,3295.03,3667.58,3262.29,3627.77,1269,-220.053996,673.57225
1988-04-23,3627.77,3916.61,3627.77,3857.4,2471,-272.924543,748.016181
1988-05-07,3857.4,4451.19,3853.67,4442.44,3073,-338.82046,905.238543
1988-05-21,4442.44,4785.03,4351.75,4351.75,3104,-304.245155,970.869449
1988-06-04,4351.75,4775.99,4144.35,4775.99,2664,-380.367655,1083.514875
1988-06-17,4775.99,5241.08,4775.99,5241.08,3463,-486.933443,1233.516032
1988-07-02,5241.08,5265.24,4675.26,4960.32,2469,-432.017009,1247.196881
1988-07-16,4960.32,5493.65,4905.49,5454.29,2641,-429.58921,1334.393276
1988-07-30,5454.29,6248.02,5329.02,6248.02,3169,-450.847933,1531.806907
1988-08-13,6248.02,7328.58,6211.4,7180.41,4412,-628.665919,1827.283501
1988-08-27,7180.41,8372.28,7110.97,7597.93,4480,-720.435245,2072.395883
1988-09-10,7597.93,8093.28,7446.98,7629.27,5899,-680.096397,2197.279821
1988-09-24,7629.27,8813.75,7568.8,8789.78,6122,-884.544386,2478.982323
1988-10-08,8789.78,8789.78,7068.94,7068.94,582,-599.559002,2248.629326
1988-10-22,7068.94,7068.94,5585.44,5739.66,565,-28.897995,1767.36032
1988-11-05,5739.66,6374.32,5739.66,6374.32,3777,386.328453,1545.975839
1988-11-19,6374.32,7385.36,6374.32,7205.76,6604,565.428152,1542.804604
1988-12-03,7205.76,7596.79,6450.33,6450.33,6734,798.564686,1348.175912
1988-12-17,6450.33,6786.63,5205.68,5252.71,3760,1332.973606,937.455858
1988-12-29,5252.71,5674.39,4796.08,5119.11,2779,1352.827092,617.700143
