date,open,high,low,close,volume,mtm_hist,macd_hist
2003-01-08,3276.56,3579.7,3251.26,3552.01,2155,,
2003-01-15,3555.55,3739.66,3518.36,3682.72,2637,,
2003-01-22,3678.49,3716.21,3543.81,3606.45,2229,,
2003-02-06,3622.43,3741.27,3449.87,3449.87,2347,,
2003-02-13,3403.61,3437.52,3232.41,3232.71,1434,,
2003-02-20,3256.41,3393.26,3213.12,3297.85,1298,,
2003-02-27,3320.47,3358.9,3166.96,3207.87,996,,
2003-03-07,3236.46,3310.66,3136.75,3173.82,910,,
2003-03-14,3184.43,3331.61,3108.76,3282.92,1023,,
2003-03-21,3273.99,3430.33,3200.57,3395.47,1393,,
2003-03-28,3410.88,3421.6,3281.57,3297.9,824,,-82.062727
2003-04-04,3278.1,3324.3,3136.35,3324.3,902,,-46.385606
2003-04-11,3327.28,3407.4,3305.92,3343.02,1123,,-23.054672
2003-04-18,3342.38,3477.62,3277.85,3458.45,1090,,76.97944
2003-04-25,3455.6,3462.65,3144.7,3147.46,1213,,-195.0088
2003-05-05,3110.86,3219.4,3003.82,3171.77,1162,,-142.249
2003-05-12,3172.79,3243.19,3155.04,3220.17,870,,-78.2075
2003-05-19,3245.94,3306.55,3197.25,3216.14,752,,-68.53125
2003-05-26,3188.64,3355.4,3156.29,3355.4,971,,58.940625
2003-06-02,3353.76,3573.12,3334.39,3558.82,1770,,218.633854
2003-06-10,3552.43,3680.64,3528.04,3662.79,2217,,268.836545
2003-06-17,3674.75,3786.9,3628.33,3771.57,2277,,314.680454
2003-06-24,3795.36,3860.35,3671.34,3704.47,2337,,206.317045
2003-07-01,3699.42,3783.64,3663.5,3783.64,1529,,237.905871
2003-07-08,3803.19,4159.13,3803.19,4123.26,3638,,481.271559
2003-07-15,4098.46,4147.7,3913.77,4043.02,3185,,334.192966
2003-07-22,4046.13,4115.01,3911.47,3955.14,2644,,205.260805
2003-07-29,3965.41,4162.09,3965.41,4041.45,2962,-583.861765,242.975671
2003-08-05,4040.05,4123.26,3985.04,3990.7,2105,-477.459346,160.188059
2003-08-12,3973.24,4025.9,3911.84,3989.0,2226,-299.11053,132.073383
2003-08-19,4018.16,4281.13,4018.16,4213.56,3500,-284.667138,297.194485
2003-08-26,4230.86,4392.53,4224.69,4277.93,2786,-217.837456,301.303738
2003-09-02,4283.54,4457.65,4255.92,4453.82,2745,-253.286627,397.661448
2003-09-09,4466.64,4570.73,4382.62,4474.01,2740,-302.73478,348.20954
2003-09-17,4458.9,4542.33,4377.12,4511.55,2168,-232.093138,321.45795
2003-09-24,4502.01,4545.47,4393.76,4468.11,2474,134.192766,231.681625
2003-10-01,4425.69,4448.06,4338.76,4351.53,1761,151.584681,95.918021
2003-10-08,4376.88,4606.24,4376.88,4546.45,2820,-116.635839,242.365017
2003-10-16,4532.69,4716.19,4516.6,4715.18,3382,-176.938523,342.579181
2003-10-23,4727.32,4781.35,4608.81,4623.56,3079,-120.949799,209.132651
2003-10-30,4624.11,4825.17,4584.76,4765.83,2383,-235.484265,292.835543
2003-11-06,4768.98,4815.17,4629.42,4681.53,2650,65.222875,173.779619
2003-11-13,4699.25,4727.72,4597.97,4655.62,2119,138.224778,123.224682
2003-11-20,4657.76,4678.64,4475.57,4487.59,1829,428.573136,-37.337765
