symbol,timeframe,compression,mtm_len,mtm_fast,mtm_slow,macd_fast,macd_slow,macd_sig,winrate,profitfactor,netprofit,trades
00002,bt.TimeFrame.Weeks,1,16,9,31,16,21,13,80.0,8.228867462191081,50.4,25
00003,bt.TimeFrame.Days,8,31,17,1,11,26,5,88.24,23.674154869370074,9.62,17
00004,bt.TimeFrame.Days,3,6,17,11,21,26,17,68.75,2.17360168168133,21.34,32
00012,bt.TimeFrame.Weeks,2,11,13,31,16,26,5,71.43,4.820589857485047,27.92,14
00014,bt.TimeFrame.Days,5,21,9,21,1,16,13,57.69,2.2058047868833754,22.72,26
00017,bt.TimeFrame.Weeks,2,21,17,6,1,16,9,78.95,2.5619727524783884,29.72,19
00019,bt.TimeFrame.Weeks,2,31,13,1,6,11,13,94.12,13.524291160457603,81.31,17
00027,bt.TimeFrame.Weeks,2,16,5,31,11,26,5,76.92,5.4676765826040254,72.95,13
00038,bt.TimeFrame.Weeks,2,31,17,26,11,31,13,75.0,3.959570862741805,9.09,8
00066,bt.TimeFrame.Days,8,26,21,11,11,21,9,87.5,12.46375691934058,31.51,16
00083,bt.TimeFrame.Days,5,16,9,16,21,1,17,62.79,2.4289638395176847,13.19,43
00101,bt.TimeFrame.Weeks,2,1,21,6,21,31,17,70.0,4.227897876081101,14.01,10
00107,bt.TimeFrame.Days,5,26,21,11,11,21,9,70.37,4.086485584033614,4.04,27
00108,bt.TimeFrame.Days,8,31,5,1,21,26,5,57.14,6.243185924304072,8.0,21
00116,bt.TimeFrame.Days,8,16,17,31,6,16,5,81.82,6.1429838254100035,20.81,11
00119,bt.TimeFrame.Weeks,2,11,5,26,6,31,5,62.5,6.368661510346455,8.65,16
00123,bt.TimeFrame.Days,3,16,21,1,6,26,9,60.38,2.0045605163535507,7.74,53
00135,bt.TimeFrame.Months,1,21,21,6,16,26,17,100.0,,9.98,2
00142,bt.TimeFrame.Days,8,26,21,1,6,31,9,85.71,12.39578470751519,8.15,21
00144,bt.TimeFrame.Weeks,2,21,21,1,1,31,13,83.33,8.643425973037095,25.54,18
00148,bt.TimeFrame.Weeks,2,11,13,1,6,31,9,90.0,54.086658114788044,51.65,10
00151,bt.TimeFrame.Months,1,21,13,21,11,1,9,100.0,,2.38,4
00152,bt.TimeFrame.Months,1,31,21,26,16,6,13,100.0,,6.18,4
00165,bt.TimeFrame.Weeks,2,26,13,6,6,26,5,52.94,2.6462570769160787,12.66,17
00175,bt.TimeFrame.Days,3,16,5,26,6,11,17,71.05,4.4418155276025955,36.83,38
00177,bt.TimeFrame.Weeks,2,21,21,11,6,11,9,94.12,16.9028155916346,9.05,17
00179,bt.TimeFrame.Weeks,2,21,21,11,6,26,9,66.67,3.845345345307404,35.78,15
00189,bt.TimeFrame.Days,3,21,21,16,21,26,5,71.43,4.769766685246577,19.61,28
00200,bt.TimeFrame.Weeks,2,31,13,31,21,31,5,71.43,4.342221605636323,28.62,7
00257,bt.TimeFrame.Weeks,2,11,21,6,6,26,9,86.67,15.553932329173573,6.81,15
00259,bt.TimeFrame.Days,3,6,13,21,6,31,5,57.81,5.862303832454142,4.96,64
00267,bt.TimeFrame.Days,8,26,17,11,6,16,9,75.0,4.425057343634827,18.9,24
00268,bt.TimeFrame.Months,1,21,5,1,6,21,13,100.0,,27.34,5
00285,bt.TimeFrame.Days,8,16,9,1,6,21,9,90.91,59.74451538201059,58.57,11
00288,bt.TimeFrame.Days,8,1,21,26,21,11,17,83.33,19.109605593725682,5.59,12
00291,bt.TimeFrame.Days,3,16,13,21,11,16,9,68.89,3.535588958546321,47.74,45
00293,bt.TimeFrame.Days,8,26,21,31,16,21,17,90.0,5.2269766887605735,14.71,10
00317,bt.TimeFrame.Days,5,26,5,31,6,11,5,80.0,20.222768034735743,70.06,20
00322,bt.TimeFrame.Weeks,2,26,13,21,11,21,17,66.67,9.671410249072062,14.38,12
00323,bt.TimeFrame.Months,1,21,21,16,6,16,9,85.71,121.6219955923024,5.86,7
00326,bt.TimeFrame.Days,5,16,13,1,11,16,13,50.0,4.154151374869823,404.97,24
00345,bt.TimeFrame.Weeks,2,26,9,1,6,21,9,89.47,6.260936718330855,24.58,19
00357,bt.TimeFrame.Days,5,21,21,31,11,31,17,60.0,8.285366914123879,42.57,15
00358,bt.TimeFrame.Weeks,2,26,21,6,6,16,9,75.0,8.537881733148119,46.44,16
00363,bt.TimeFrame.Days,8,31,21,11,11,16,5,64.71,2.1800840927628715,15.0,17
00371,bt.TimeFrame.Days,8,21,21,1,16,1,5,75.0,1.8154139285225894,3.17,40
00373,bt.TimeFrame.Weeks,2,26,13,6,11,26,5,82.35,8.637496226477195,3.5,17
