symbol,timeframe,compression,mtm_len,mtm_fast,mtm_slow,macd_fast,macd_slow,macd_sig,winrate,profitfactor,netprofit,trades
0050,bt.TimeFrame.Weeks,2,31,13,26,16,31,13,100.0,,40.94,6
0051,bt.TimeFrame.Days,8,31,17,31,11,31,5,100.0,,60.04,5
0052,bt.TimeFrame.Weeks,2,11,17,31,11,26,5,100.0,,174.26,6
0053,bt.TimeFrame.Weeks,2,11,21,26,6,26,5,100.0,,100.15,6
0055,bt.TimeFrame.Weeks,2,21,21,11,6,21,17,100.0,,23.71,8
0056,bt.TimeFrame.Weeks,2,31,17,26,1,26,17,87.5,15.063244481377236,21.43,8
0057,bt.TimeFrame.Weeks,2,31,17,21,16,21,13,100.0,,115.16,5
0061,bt.TimeFrame.Weeks,2,16,21,6,1,21,13,60.0,1.8154290092108807,8.18,10
006201,bt.TimeFrame.Months,1,6,5,21,11,16,5,100.0,,18.46,4
006204,bt.TimeFrame.Weeks,2,31,13,21,11,21,13,100.0,,88.2,4
006205,bt.TimeFrame.Days,8,16,5,31,6,11,5,83.33,9.900433608219762,22.48,6
006206,bt.TimeFrame.Days,8,16,9,31,6,11,5,83.33,8.471402911351177,20.04,6
006207,bt.TimeFrame.Weeks,2,11,13,16,6,31,5,75.0,12.263028724301883,18.2,8
00635U,bt.TimeFrame.Days,3,16,21,1,11,21,13,87.5,5.478534148327661,14.52,16
00639,bt.TimeFrame.Weeks,2,16,1,26,6,26,17,80.0,4.618567223721244,5.85,5
00642U,bt.TimeFrame.Days,3,31,21,16,6,11,9,55.0,1.3370599804511516,5.08,20
00645,bt.TimeFrame.Weeks,2,11,13,1,6,26,9,100.0,,21.36,3
00646,bt.TimeFrame.Weeks,2,6,21,26,6,16,13,100.0,,37.41,5
1101,bt.TimeFrame.Days,5,6,17,6,16,21,5,62.16,4.10892585135451,39.89,37
1102,bt.TimeFrame.Weeks,1,26,21,1,21,6,13,76.27,2.511989445559163,32.59,59
1201,bt.TimeFrame.Days,8,11,9,1,11,26,13,54.17,3.8670932442886663,92.8,24
1216,bt.TimeFrame.Days,3,21,21,26,6,1,17,64.79,2.9780184606291744,63.21,71
1301,bt.TimeFrame.Weeks,2,31,13,21,6,31,5,86.67,5.657126103165293,72.11,15
1303,bt.TimeFrame.Weeks,2,31,13,31,11,26,5,90.0,76.82354969981705,75.74,10
1304,bt.TimeFrame.Months,1,11,5,26,6,31,5,88.89,11.030263797395657,26.86,9
1402,bt.TimeFrame.Days,5,31,21,11,6,21,17,65.22,1.7732388725634045,19.03,46
1440,bt.TimeFrame.Days,3,6,13,6,11,16,5,42.03,1.5191707081067327,18.54,69
1605,bt.TimeFrame.Months,1,1,13,26,6,21,13,80.0,7.918537507824295,40.33,10
1788,bt.TimeFrame.Days,1,31,21,11,11,26,5,63.1,3.8821876111078732,111.96,84
1802,bt.TimeFrame.Months,1,31,1,11,6,21,17,88.89,42.787128056577416,36.88,9
1904,bt.TimeFrame.Days,3,11,21,26,11,21,9,53.03,1.7766006553039069,22.49,66
1907,bt.TimeFrame.Days,3,31,17,11,6,16,9,52.27,1.996155129665417,29.56,88
2002,bt.TimeFrame.Months,1,31,21,6,11,21,9,88.89,645.9364568896519,33.04,9
2006,bt.TimeFrame.Weeks,1,26,21,1,1,31,9,71.11,5.590871297128183,87.29,45
2049,bt.TimeFrame.Days,8,11,13,1,6,11,13,100.0,,471.8,7
2201,bt.TimeFrame.Days,1,31,13,31,6,31,13,50.36,1.5120587448770157,91.4,139
2204,bt.TimeFrame.Weeks,2,26,13,21,1,6,9,57.14,4.4411097754063125,107.14,21
2207,bt.TimeFrame.Days,3,26,21,6,6,26,9,69.39,3.63462917252897,800.33,49
2301,bt.TimeFrame.Days,3,21,5,21,6,11,9,58.93,4.313681998990704,109.41,56
2303,bt.TimeFrame.Days,8,6,9,16,1,21,9,64.1,2.9441658701272355,53.54,39
2308,bt.TimeFrame.Days,3,11,17,26,11,26,9,60.32,3.9027756660370234,343.6,63
2330,bt.TimeFrame.Days,8,26,13,16,6,21,5,89.47,47.002486406510485,918.9,19
2345,bt.TimeFrame.Days,3,31,17,1,6,11,9,80.0,18.712455276005723,601.35,50
2347,bt.TimeFrame.Days,3,31,21,11,1,11,17,60.0,2.705257271644764,50.13,55
2353,bt.TimeFrame.Weeks,2,6,21,1,11,26,5,75.0,5.1622607034755,52.36,12
2354,bt.TimeFrame.Days,1,11,9,1,6,11,13,55.28,1.6588211273610107,132.63,161
2356,bt.TimeFrame.Days,3,21,5,11,6,11,9,56.34,3.6964704074640404,54.16,71
2357,bt.TimeFrame.Days,5,31,13,1,6,31,13,62.5,4.035014479770067,367.98,32
2377,bt.TimeFrame.Days,8,6,21,31,1,6,17,70.0,9.381973718339482,186.11,20
2379,bt.TimeFrame.Weeks,2,11,13,31,11,1,13,92.31,42.32262694280654,545.11,13
2412,bt.TimeFrame.Days,5,31,21,1,6,16,17,83.33,23.408201165700298,72.09,24
2450,bt.TimeFrame.Months,1,31,9,1,6,11,17,100.0,,80.35,5
2454,bt.TimeFrame.Days,8,21,21,31,11,16,17,85.71,417.37187662155475,775.94,7
2618,bt.TimeFrame.Days,3,26,17,1,1,31,9,58.49,3.8283967527347427,48.11,53
2637,bt.TimeFrame.Days,5,26,17,1,6,26,5,78.57,68.21134213417938,92.41,14
2705,bt.TimeFrame.Days,3,31,21,16,6,21,13,59.15,2.1006815480144954,114.75,71
2881,bt.TimeFrame.Days,5,21,13,16,16,26,9,68.18,6.874275670151519,58.55,22
2886,bt.TimeFrame.Days,8,6,13,11,21,16,17,90.0,7.5261015150240445,18.91,20
2891,bt.TimeFrame.Weeks,1,1,13,6,11,26,5,76.0,6.372375315981649,23.45,25
2903,bt.TimeFrame.Weeks,2,26,9,6,11,21,5,53.33,3.0179407339276905,30.11,30
2912,bt.TimeFrame.Weeks,1,21,5,16,6,31,17,65.71,3.6545319972229624,175.33,35
3033,bt.TimeFrame.Days,5,26,17,31,6,21,13,91.67,52.88151486447946,31.89,12
3034,bt.TimeFrame.Weeks,2,11,13,1,11,31,5,77.78,41.227401519598764,319.19,9
3036,bt.TimeFrame.Weeks,2,6,13,6,1,21,9,62.07,15.083780640903518,111.25,29
3231,bt.TimeFrame.Days,3,6,21,11,11,16,17,64.29,7.676595059293931,118.61,28
3481,bt.TimeFrame.Weeks,2,16,17,6,11,16,9,62.5,8.995992278063854,24.59,8
3702,bt.TimeFrame.Days,3,21,21,16,6,1,13,77.5,5.052028155459369,41.94,40
4306,bt.TimeFrame.Days,3,16,9,26,6,11,5,56.41,1.8809068314264348,11.16,39
5388,bt.TimeFrame.Days,8,21,17,6,6,31,5,75.0,9.139839446483794,81.94,20
5508,bt.TimeFrame.Days,5,6,21,6,1,21,13,57.5,13.201316098938058,190.21,40
5522,bt.TimeFrame.Days,1,31,13,31,16,26,17,55.81,3.3215482915094037,80.93,86
5903,bt.TimeFrame.Weeks,2,21,9,11,11,26,5,85.71,25.582082951769138,190.9,14
6121,bt.TimeFrame.Days,8,21,17,26,6,16,13,100.0,,310.69,10
