date,open,high,low,close,volume,mtm_hist,macd_hist
2006-09-11,28.3,28.34,26.38,26.93,1164712234,,
2006-09-21,26.93,27.8,26.1,27.71,660688480,,
2006-10-03,27.61,28.4,27.4,28.3,375404625,,
2006-10-17,28.39,29.1,27.11,28.77,559000896,,
2006-10-27,28.51,28.95,28.48,28.6,552071650,,
2006-11-08,28.55,29.23,28.23,29.18,502464050,,
2006-11-20,29.41,29.72,28.81,29.68,273261770,,
2006-11-30,29.75,31.24,29.68,31.24,454273908,,
2006-12-12,31.5,31.99,31.0,31.28,359955950,,
2006-12-22,31.3,31.96,30.6,31.85,484164610,,
2007-01-04,31.85,33.34,31.7,32.99,599556420,,
2007-01-16,33.0,33.29,31.5,32.35,326861630,,
2007-01-26,32.25,32.9,32.0,32.51,257063230,,
2007-02-07,32.31,32.58,31.6,32.31,166742990,,
2007-03-01,32.37,33.0,32.01,32.17,186228030,,
2007-03-12,32.0,32.73,30.15,31.66,342655626,,
2007-03-22,31.69,32.37,31.22,32.37,150594225,,
2007-04-03,32.37,33.0,32.27,33.0,147185463,,
2007-04-16,33.11,33.75,33.06,33.35,212073271,,
2007-04-26,33.59,33.64,32.4,32.8,157251684,,
2007-05-09,32.8,32.99,31.5,32.5,120849250,,
2007-05-21,32.5,32.7,32.21,32.65,55064320,,
2007-05-31,32.65,33.16,32.65,33.13,85892827,,
2007-06-12,33.18,33.9,33.0,33.84,84729967,,
2007-06-25,33.9,36.35,33.7,36.18,136954262,,
2007-07-05,36.69,37.2,35.3,37.2,105865712,,
2007-07-17,37.2,40.0,37.2,39.5,271643323,,
2007-07-27,38.7,42.7,38.7,39.7,195484657,,
2007-08-08,39.02,41.0,37.6,39.21,170870150,,
2007-08-20,39.5,39.99,33.31,35.99,261564423,,
2007-08-30,36.1,37.0,35.0,36.5,103997410,,3.481504
2007-09-11,36.35,37.9,36.35,37.85,72800162,,3.431831
2007-09-26,38.2,39.5,36.9,39.45,124103384,,3.523943
2007-10-05,39.55,40.5,39.0,39.77,104894683,,3.592531
2007-10-18,39.81,40.03,39.09,39.79,82864988,,3.610776
2007-10-30,39.8,40.89,38.45,40.56,112607850,,3.667626
2007-11-09,40.56,40.68,36.4,36.7,93234235,,3.271753
2007-11-21,36.3,36.95,34.8,36.0,177753590,,2.855479
2007-12-03,35.55,35.9,33.15,34.54,173319301,,2.348438
2007-12-13,34.54,35.68,33.0,33.1,75632022,,1.777848
2007-12-25,33.1,33.35,30.0,31.5,111045730,,1.14689
2008-01-07,31.5,33.54,31.0,31.0,108433473,,0.589923
2008-01-17,31.25,33.65,30.8,31.8,70087570,,0.231981
2008-01-29,31.3,32.41,28.5,28.91,70810100,,-0.351119
2008-02-18,28.91,30.79,28.5,30.35,65164161,,-0.653009
2008-02-29,30.48,33.2,29.05,33.05,119461120,,-0.600808
2008-03-12,32.8,34.1,31.6,33.3,181758034,,-0.527726
2008-03-24,33.3,35.52,31.0,34.3,94801580,,-0.360966
2008-04-03,34.5,34.5,33.31,33.5,63245003,,-0.310259
2008-04-16,33.65,35.81,33.65,35.81,151210291,,-0.026787
2008-04-28,36.0,36.33,35.23,36.04,86289608,,0.218913
2008-05-09,36.0,36.35,35.0,35.85,41343030,,0.388794
2008-05-21,35.4,37.1,35.2,36.1,65046665,,0.543505
2008-06-02,35.86,36.0,33.21,33.9,43296810,,0.429545
2008-06-12,33.98,34.38,30.5,30.5,41997453,,-0.018127
2008-06-24,30.99,31.44,29.15,29.2,48885716,,-0.503099
2008-07-04,29.28,29.8,27.24,27.71,87298434,,-1.031951
2008-07-16,27.4,28.2,26.01,26.05,74601500,,-1.607284
2008-07-29,26.37,28.33,25.6,27.0,98653510,,-1.941062
